"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","56","54","0","2021","A","",5,13,352603,0,0,539,28021,"",2.55,0.57,0.44,0.00,0.00,0.80,0.80,"",0,0.0,-3,-18.8,-86156,-19.6,0,0.0,0,0.0,-2,-0.4,-135,-0.5
"01000","3","56","54","0","2021","A","",69,734,35141632,619148,9924,921,47877,"",1.58,0.77,0.85,0.30,0.27,1.10,1.10,"",3,4.5,-24,-3.2,520504,1.5,-112286,-15.4,3593,56.8,42,4.8,2188,4.8
"01000","5","56","54","0","2021","A","",7943,123983,4486623543,1613537401,30144154,696,36188,"",1.01,1.00,0.90,1.15,1.09,0.90,0.90,"",655,9.0,5681,4.8,555496469,14.1,131493280,8.9,10485837,53.3,57,8.9,2958,8.9
"01001","3","56","74","0","2021","A","N",1,0,0,0,0,0,0,"N",3.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","56","74","0","2021","A","",51,362,13160972,4104240,69410,698,36314,"",0.94,0.52,0.58,0.58,0.47,1.11,1.11,"",5,10.9,81,28.8,2436143,22.7,1202299,41.4,33559,93.6,-35,-4.8,-1807,-4.7
"01003","5","56","74","0","2021","A","",426,3796,135776374,46531500,814017,688,35767,"",1.05,0.79,0.86,0.80,0.75,1.09,1.09,"",41,10.6,170,4.7,16032162,13.4,3687054,8.6,245326,43.1,53,8.3,2746,8.3
"01005","5","56","74","0","2021","A","",16,367,10154554,5429067,118115,531,27638,"",0.49,0.75,0.70,1.01,1.13,0.92,0.93,"",2,14.3,22,6.4,984976,10.7,450368,9.0,4535,4.0,19,3.7,1027,3.9
"01007","5","56","74","0","2021","A","N",10,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,"N",-1,-9.1,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","56","74","0","2021","A","",40,234,9013365,2614080,37097,739,38450,"",0.83,0.44,0.56,0.50,0.39,1.29,1.29,"",5,14.3,40,20.6,2532342,39.1,795898,43.8,19518,111.0,96,14.9,5014,15.0
"01011","5","56","74","0","2021","A","N",6,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","56","74","0","2021","A","",19,447,10586373,6213640,114316,455,23674,"",0.67,1.11,0.88,1.33,1.07,0.80,0.80,"",3,18.8,27,6.4,1665633,18.7,484749,8.5,49940,77.6,46,11.2,2409,11.3
"01015","1","56","74","0","2021","A","",2,9,267675,0,0,562,29201,"",54.45,17.70,18.20,0.00,0.00,1.01,1.01,"",0,0.0,-3,-25.0,-90503,-25.3,0,0.0,0,0.0,-33,-5.5,-1721,-5.6
"01015","3","56","74","0","2021","A","N",1,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","56","74","0","2021","A","",127,2520,73975155,32743965,533659,565,29358,"",0.86,0.92,0.81,1.22,1.08,0.88,0.88,"",5,4.1,103,4.3,6243868,9.2,1875471,6.1,187506,54.2,26,4.8,1333,4.8
"01017","5","56","74","0","2021","A","",40,553,14495604,6442801,101193,504,26209,"",1.06,1.05,0.88,1.14,0.89,0.84,0.84,"",4,11.1,121,28.0,-115525,-0.8,1085734,20.3,44173,77.5,-147,-22.6,-7639,-22.6
"01019","5","56","74","0","2021","A","",12,217,5391747,3381464,59339,477,24818,"",0.49,0.66,0.57,0.95,0.80,0.86,0.86,"",-1,-7.7,5,2.4,379659,7.6,140876,4.3,19604,49.3,22,4.8,1157,4.9
"01021","3","56","74","0","2021","A","N",1,0,0,0,0,0,0,"N",3.84,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","56","74","0","2021","A","",27,164,5663123,2012944,29827,665,34584,"",0.57,0.29,0.31,0.33,0.26,1.09,1.09,"",0,0.0,21,14.7,1003775,21.5,225732,12.6,12153,68.8,40,6.4,2058,6.3
"01023","5","56","74","0","2021","A","",7,65,2180270,718591,9352,643,33457,"",0.36,0.29,0.24,0.26,0.15,0.82,0.82,"",1,16.7,-12,-15.6,-625567,-22.3,-79093,-9.9,3442,58.2,-55,-7.9,-2865,-7.9
"01025","5","56","74","0","2021","A","",20,164,6047990,1695761,22607,708,36803,"",0.50,0.32,0.35,0.31,0.22,1.08,1.08,"",0,0.0,0,0.0,159635,2.7,-42795,-2.5,7703,51.7,18,2.6,917,2.6
"01027","3","56","74","0","2021","A","N",1,0,0,0,0,0,0,"N",13.76,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","56","74","0","2021","A","",4,22,664972,235344,3041,573,29775,"",0.30,0.08,0.08,0.08,0.05,0.99,0.99,"",-1,-20.0,1,4.8,68275,11.4,35648,17.9,1290,73.7,35,6.5,1805,6.5
"01029","5","56","74","0","2021","A","",7,26,879447,315299,4000,646,33609,"",0.49,0.19,0.16,0.21,0.10,0.88,0.88,"",1,16.7,1,4.0,128967,17.2,34783,12.4,1840,85.2,61,10.4,3184,10.5
"01031","5","56","74","0","2021","A","",54,1145,43016645,15772533,349805,723,37572,"",0.84,1.11,1.39,1.28,1.52,1.26,1.26,"",9,20.0,341,42.4,18717564,77.0,5482252,53.3,190056,119.0,142,24.4,7337,24.3
"01033","3","56","74","0","2021","A","N",2,0,0,0,0,0,0,"N",4.51,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","56","74","0","2021","A","",76,1054,44754394,12922213,246883,817,42465,"",0.95,0.71,0.80,0.77,0.66,1.12,1.12,"",8,11.8,-124,-10.5,1130866,2.6,144614,1.1,91351,58.7,105,14.7,5444,14.7
