"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","11","54","0","2021","A","",1530,11841,582152077,126473027,2202666,945,49165,"",1.08,0.69,1.02,0.63,0.48,1.46,1.47,"",40,2.7,-335,-2.8,10103719,1.8,-2589348,-2.0,593950,36.9,42,4.7,2183,4.6
"01001","5","11","74","0","2021","A","",20,95,7662073,996726,13933,1551,80653,"",2.05,0.98,2.92,0.99,0.58,2.97,2.97,"",0,0.0,-4,-4.0,1074463,16.3,27318,2.8,6153,79.1,272,21.3,14167,21.3
"01003","5","11","74","0","2021","A","",62,678,30516367,6940407,95474,866,45015,"",0.85,1.02,1.69,0.83,0.54,1.65,1.65,"",2,3.3,-25,-3.6,1244673,4.3,-48693,-0.7,30619,47.2,65,8.1,3367,8.1
"01005","5","11","74","0","2021","A","",21,175,8141155,1809750,34860,893,46432,"",3.55,2.61,4.89,2.35,2.03,1.87,1.87,"",-1,-4.5,7,4.2,851737,11.7,-12043,-0.7,8719,33.4,61,7.3,3150,7.3
"01007","5","11","74","0","2021","A","N",13,0,0,0,0,0,0,"N",3.34,0,0,0,0,0,0,"N",1,8.3,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","11","74","0","2021","A","N",12,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","11","74","0","2021","A","N",17,0,0,0,0,0,0,"N",8.62,0,0,0,0,0,0,"N",1,6.2,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","11","74","0","2021","A","",27,200,9918227,2017382,29926,952,49488,"",5.26,3.59,7.22,3.02,1.71,2.01,2.01,"",1,3.8,2,1.0,204693,2.1,136065,7.2,8985,42.9,7,0.7,368,0.7
"01015","5","11","74","0","2021","A","N",24,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,"N",-3,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","11","74","0","2021","A","",23,196,9436215,1883837,27687,926,48164,"",3.40,2.70,5.02,2.33,1.49,1.86,1.86,"",0,0.0,-5,-2.5,-153876,-1.6,-92429,-4.7,6786,32.5,6,0.7,333,0.7
"01019","5","11","74","0","2021","A","",17,189,6972039,2037692,44190,710,36938,"",3.87,4.19,6.46,4.01,3.64,1.54,1.55,"",-1,-5.6,-11,-5.5,347387,5.2,-245207,-10.7,53,0.1,73,11.5,3801,11.5
"01021","5","11","74","0","2021","A","N",22,0,0,0,0,0,0,"N",2.60,0,0,0,0,0,0,"N",-2,-8.3,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","11","74","0","2021","A","N",23,0,0,0,0,0,0,"N",6.57,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","11","74","0","2021","A","",35,277,15252544,2802042,41759,1059,55063,"",4.92,3.96,7.67,3.61,2.52,1.94,1.94,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","11","74","0","2021","A","",16,66,2686251,669161,13048,786,40856,"",6.79,1.79,2.93,1.57,1.41,1.64,1.64,"",1,6.7,6,10.0,363317,15.6,19387,3.0,6465,98.2,46,6.2,2354,6.1
"01029","5","11","74","0","2021","A","N",12,0,0,0,0,0,0,"N",4.67,0,0,0,0,0,0,"N",1,9.1,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","11","74","0","2021","A","",25,686,28568325,7913594,160805,801,41630,"",2.16,4.81,8.04,4.50,4.26,1.67,1.67,"",3,13.6,101,17.3,4619095,19.3,780423,10.9,100108,164.9,14,1.8,709,1.7
"01033","5","11","74","0","2021","A","",13,59,2161035,663333,9132,703,36576,"",0.90,0.29,0.34,0.28,0.15,1.16,1.16,"",2,18.2,9,18.0,323204,17.6,130246,24.4,4580,100.6,1,0.1,63,0.2
"01035","5","11","74","0","2021","A","N",23,0,0,0,0,0,0,"N",8.55,0,0,0,0,0,0,"N",-1,-4.2,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","11","74","0","2021","A","",5,29,1414574,323659,3722,938,48778,"",3.34,2.54,4.72,2.68,1.28,1.86,1.86,"",0,0.0,-2,-6.5,37424,2.7,15949,5.2,1908,105.2,70,8.1,3626,8.0
"01039","5","11","74","0","2021","A","N",29,0,0,0,0,0,0,"N",2.96,0,0,0,0,0,0,"N",2,7.4,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","11","74","0","2021","A","",21,149,7945687,1634842,27078,1027,53416,"",7.26,5.14,10.73,4.96,2.57,2.09,2.09,"",-1,-4.5,-12,-7.5,504441,6.8,-104857,-6.0,-1748,-6.1,138,15.5,7173,15.5
"01043","5","11","74","0","2021","A","N",33,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,"N",1,3.1,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","11","74","0","2021","A","N",16,0,0,0,0,0,0,"N",1.69,0,0,0,0,0,0,"N",1,6.7,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","11","74","0","2021","A","N",28,0,0,0,0,0,0,"N",3.16,0,0,0,0,0,0,"N",1,3.7,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","11","74","0","2021","A","N",33,0,0,0,0,0,0,"N",2.50,0,0,0,0,0,0,"N",2,6.5,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","11","74","0","2021","A","N",22,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,"N",1,4.8,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","11","74","0","2021","A","",27,185,9452810,2036565,25512,984,51189,"",3.06,1.75,3.18,1.76,1.06,1.82,1.82,"",2,8.0,-1,-0.5,565706,6.4,142916,7.5,13182,106.9,67,7.3,3494,7.3
"01055","5","11","74","0","2021","A","N",5,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","11","74","0","2021","A","",21,141,5455871,2208761,31280,747,38832,"",5.90,4.06,6.81,6.29,3.48,1.68,1.69,"",1,5.0,-9,-6.0,485003,9.8,355610,19.2,15447,97.6,108,16.9,5582,16.8
"01059","5","11","74","0","2021","A","",16,67,2582613,736768,12280,747,38836,"",2.58,0.72,1.09,0.67,0.51,1.52,1.52,"",2,14.3,6,9.8,168456,7.0,115216,18.5,5312,76.2,-12,-1.6,-633,-1.6
"01061","5","11","74","0","2021","A","",38,400,15771723,3938530,60620,759,39462,"",6.89,9.01,15.74,7.80,5.54,1.75,1.75,"N",2,5.6,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","11","74","0","2021","A","",11,35,1500883,346303,5425,821,42679,"",6.43,2.25,4.00,2.06,1.03,1.77,1.77,"",0,0.0,3,9.4,279448,22.9,10866,3.2,2069,61.7,89,12.2,4608,12.1
"01065","5","11","74","0","2021","A","",37,194,8628091,2043492,29073,854,44398,"",12.23,8.83,14.83,9.70,6.55,1.68,1.68,"N",2,5.7,0,0,0,0,0,0,0,0,0,0,0,0
"01067","5","11","74","0","2021","A","",27,285,12199328,2757027,37597,823,42817,"",7.29,9.12,12.86,7.71,5.59,1.41,1.41,"",-2,-6.9,-15,-5.0,-939970,-7.2,-103704,-3.6,13397,55.4,-18,-2.1,-920,-2.1
"01069","5","11","74","0","2021","A","N",26,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,"N",2,8.3,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","11","74","0","2021","A","",17,36,1093601,374703,7617,586,30448,"",1.58,0.28,0.31,0.24,0.18,1.14,1.14,"",2,13.3,-7,-16.3,-2971,-0.3,-53945,-12.6,-165,-2.1,100,20.6,5191,20.6
"01073","5","11","74","0","2021","A","",19,71,3969683,673037,9263,1074,55845,"",0.09,0.02,0.03,0.02,0.01,1.43,1.43,"",1,5.6,-1,-1.4,182203,4.8,12415,1.9,3307,55.5,65,6.4,3363,6.4
"01075","5","11","74","0","2021","A","N",13,0,0,0,0,0,0,"N",4.45,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","11","74","0","2021","A","N",20,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,"N",-3,-13.0,0,0,0,0,0,0,0,0,0,0,0,0
"01079","5","11","74","0","2021","A","N",21,0,0,0,0,0,0,"N",4.17,0,0,0,0,0,0,"N",1,5.0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","11","74","0","2021","A","",24,301,19309157,2968130,47561,1235,64221,"",0.65,0.58,1.32,0.54,0.40,2.27,2.27,"N",1,4.3,0,0,0,0,0,0,0,0,0,0,0,0
"01083","5","11","74","0","2021","A","N",29,0,0,0,0,0,0,"N",1.77,0,0,0,0,0,0,"N",1,3.6,0,0,0,0,0,0,0,0,0,0,0,0
