"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","71","54","0","2021","A","",17,285,8274861,0,0,558,29035,"",1.20,0.56,0.34,0.00,0.00,0.61,0.61,"",0,0.0,-38,-11.8,-367600,-4.3,0,0.0,0,0.0,43,8.3,2264,8.5
"01000","2","71","54","0","2021","A","N",12,0,0,0,0,0,0,"N",1.02,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","71","54","0","2021","A","",38,3085,129068598,21152795,273981,805,41837,"",0.76,0.91,1.30,2.00,2.28,1.43,1.42,"",0,0.0,-325,-9.5,-6464402,-4.8,-1089833,-4.9,103258,60.5,41,5.4,2090,5.3
"01000","5","71","54","0","2021","A","",1421,19407,435341314,146906353,2375931,431,22432,"",0.68,0.72,0.43,0.70,0.60,0.60,0.60,"",65,4.8,1948,11.2,66882127,18.2,16987052,13.1,910246,62.1,25,6.2,1327,6.3
"01001","2","71","74","0","2021","A","N",1,0,0,0,0,0,0,"N",12.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","71","74","0","2021","A","",13,315,4534438,1036212,18113,277,14414,"",0.90,2.06,0.98,0.98,0.86,0.48,0.48,"",0,0.0,22,7.5,662468,17.1,180721,21.1,7029,63.4,23,9.1,1192,9.0
"01003","2","71","74","0","2021","A","N",1,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","71","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","71","74","0","2021","A","",114,1754,38195417,14522315,218709,419,21776,"",1.06,1.67,1.20,1.66,1.41,0.72,0.72,"",-2,-1.7,0,0.0,2355466,6.6,246123,1.7,63567,41.0,26,6.6,1342,6.6
"01005","3","71","74","0","2021","A","N",1,0,0,0,0,0,0,"N",4.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
