"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","23","54","0","2021","A","N",3,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","23","54","0","2021","A","",11035,94540,5817235776,1107244018,23571846,1183,61532,"",0.99,0.93,1.02,0.90,0.72,1.10,1.10,"",700,6.8,1768,1.9,317781322,5.8,31014139,2.9,4447480,23.3,43,3.8,2253,3.8
"01001","5","23","74","0","2021","A","",93,468,23703857,5153338,112040,974,50631,"",1.21,0.82,0.91,0.83,0.65,1.11,1.11,"",6,6.9,-18,-3.7,-825730,-3.4,-291698,-5.4,1047,0.9,4,0.4,202,0.4
"01003","5","23","74","0","2021","A","",784,4841,275108507,57116815,934480,1093,56833,"",1.37,1.23,1.53,1.11,0.74,1.25,1.25,"",83,11.8,479,11.0,35989548,15.1,6064477,11.9,256152,37.8,39,3.7,2012,3.7
"01005","5","23","74","0","2021","A","",31,154,9022081,1735856,32057,1128,58648,"",0.66,0.39,0.54,0.37,0.26,1.41,1.41,"",1,3.3,10,6.9,766003,9.3,134640,8.4,12050,60.2,24,2.2,1214,2.1
"01007","5","23","74","0","2021","A","",35,643,45048336,7800806,157293,1348,70078,"",1.14,2.62,3.88,2.81,2.27,1.48,1.48,"",0,0.0,-67,-9.4,-6184655,-12.1,-1362521,-14.9,-69657,-30.7,-40,-2.9,-2107,-2.9
"01009","5","23","74","0","2021","A","",117,570,27266751,5972957,120969,920,47829,"",1.72,1.30,1.50,1.30,1.08,1.15,1.15,"",5,4.5,3,0.5,1540286,6.0,26028,0.4,43719,56.6,47,5.4,2423,5.3
"01011","5","23","74","0","2021","A","N",5,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","23","74","0","2021","A","",30,192,8665275,2015894,51758,869,45210,"",0.74,0.58,0.63,0.49,0.41,1.10,1.10,"",0,0.0,-8,-4.0,-959043,-10.0,-119327,-5.6,5983,13.1,-54,-5.9,-2812,-5.9
"01015","5","23","74","0","2021","A","",176,995,52260061,10361766,173011,1010,52545,"",0.84,0.44,0.50,0.44,0.30,1.13,1.13,"",8,4.8,-7,-0.7,1619002,3.2,257919,2.6,53224,44.4,38,3.9,2026,4.0
"01017","5","23","74","0","2021","A","",52,265,14462528,2711522,57409,1049,54541,"",0.97,0.61,0.77,0.55,0.43,1.26,1.26,"",2,4.0,19,7.7,3576064,32.8,313518,13.1,28460,98.3,199,23.4,10332,23.4
"01019","5","23","74","0","2021","A","",28,90,4647364,1279955,27385,990,51494,"",0.81,0.34,0.43,0.41,0.32,1.29,1.29,"",0,0.0,24,36.4,2057452,79.4,554501,76.4,12019,78.2,232,30.6,12054,30.6
"01021","5","23","74","0","2021","A","",94,583,30799696,5839048,97495,1016,52837,"",1.41,1.25,1.49,1.10,0.71,1.19,1.19,"",-5,-5.1,-7,-1.2,1469978,5.0,-342528,-5.5,24731,34.0,60,6.3,3133,6.3
"01023","5","23","74","0","2021","A","N",21,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,"N",5,31.2,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","23","74","0","2021","A","",36,147,7783464,2087475,49967,1017,52889,"",0.64,0.35,0.39,0.44,0.42,1.11,1.11,"",4,12.5,4,2.8,538838,7.4,300630,16.8,25994,108.4,43,4.4,2257,4.5
"01027","5","23","74","0","2021","A","",17,31,1257255,290837,6799,772,40125,"",0.91,0.14,0.14,0.11,0.10,0.96,0.96,"",0,0.0,-7,-18.4,-130686,-9.4,-111883,-27.8,-3568,-34.4,65,9.2,3358,9.1
"01029","5","23","74","0","2021","A","",22,291,25238789,4112779,168465,1668,86756,"",1.08,2.53,4.14,3.08,3.76,1.63,1.63,"",3,15.8,24,9.0,3905893,18.3,427729,11.6,26736,18.9,132,8.6,6907,8.7
"01031","5","23","74","0","2021","A","",85,398,17557845,4076038,58351,849,44161,"",0.93,0.47,0.50,0.38,0.22,1.06,1.06,"",1,1.2,4,1.0,1084734,6.6,38723,1.0,22577,63.1,44,5.5,2307,5.5
"01033","5","23","74","0","2021","A","",119,1866,113249694,25214972,881606,1167,60680,"",1.05,1.54,1.77,1.70,1.99,1.15,1.15,"",6,5.3,87,4.9,15939812,16.4,1718511,7.3,-14053,-1.6,115,10.9,5965,10.9
"01035","5","23","74","0","2021","A","",9,54,2235261,501265,11773,795,41330,"",0.42,0.32,0.31,0.25,0.22,0.95,0.95,"",1,12.5,1,1.9,230842,11.5,10841,2.2,7312,163.9,70,9.7,3629,9.6
"01037","5","23","74","0","2021","A","",16,37,1487834,340281,6535,768,39942,"",1.35,0.54,0.50,0.46,0.31,0.91,0.91,"",4,33.3,11,42.3,395832,36.2,69326,25.6,4055,163.5,-35,-4.4,-1791,-4.3
"01039","5","23","74","0","2021","A","",79,438,19388139,4723627,93480,852,44316,"",1.02,0.72,0.74,0.66,0.44,1.04,1.04,"",6,8.2,-5,-1.1,-329709,-1.7,115199,2.5,11991,14.7,-4,-0.5,-185,-0.4
"01041","5","23","74","0","2021","A","",20,94,3717428,994577,25308,763,39653,"",0.88,0.54,0.50,0.49,0.34,0.93,0.93,"",0,0.0,26,38.2,1159729,45.3,267247,36.7,15675,162.7,42,5.8,2178,5.8
"01043","5","23","74","0","2021","A","",205,1345,71538787,14534121,312239,1023,53199,"",1.31,0.90,1.02,0.78,0.68,1.14,1.14,"",17,9.0,17,1.3,6645296,10.2,53356,0.4,25034,8.7,83,8.8,4321,8.8
"01045","5","23","74","0","2021","A","",64,530,27357597,5436802,75639,993,51642,"",0.85,0.59,0.51,0.61,0.35,0.86,0.86,"",3,4.9,31,6.2,1539590,6.0,215284,4.1,30566,67.8,-1,-0.1,-63,-0.1
"01047","5","23","74","0","2021","A","",46,434,24821288,5383515,200793,1099,57159,"",0.66,0.75,0.96,0.81,0.93,1.29,1.29,"",0,0.0,42,10.7,-84427,-0.3,569040,11.8,95550,90.8,-122,-10.0,-6322,-10.0
"01049","5","23","74","0","2021","A","",93,617,37566339,6319098,147099,1171,60869,"",0.89,0.54,0.73,0.43,0.41,1.35,1.35,"",11,13.4,-17,-2.7,2518788,7.2,-450720,-6.7,-12694,-7.9,107,10.1,5560,10.1
"01051","5","23","74","0","2021","A","",174,932,48014487,10170957,213541,991,51508,"",1.42,0.91,1.15,0.88,0.76,1.26,1.26,"",14,8.8,37,4.1,2742817,6.1,412118,4.2,49114,29.9,18,1.8,925,1.8
"01053","5","23","74","0","2021","A","",68,395,19286760,4457335,79847,939,48848,"",0.98,0.63,0.65,0.63,0.46,1.04,1.04,"",-1,-1.4,-50,-11.2,-1430522,-6.9,-801838,-15.2,-24292,-23.3,44,4.9,2327,5.0
"01055","5","23","74","0","2021","A","",140,939,44595207,9676097,195159,913,47488,"",0.80,0.57,0.63,0.47,0.35,1.10,1.10,"",6,4.5,21,2.3,177577,0.4,111233,1.2,24354,14.3,-18,-1.9,-915,-1.9
"01057","5","23","74","0","2021","A","",24,82,2988884,897790,14104,702,36524,"",0.85,0.40,0.38,0.42,0.22,0.95,0.95,"",3,14.3,5,6.5,95573,3.3,106652,13.5,7359,109.1,-20,-2.8,-1011,-2.7
"01059","5","23","74","0","2021","A","",46,224,8470167,2151944,49516,727,37799,"",0.94,0.41,0.36,0.32,0.29,0.89,0.89,"",3,7.0,14,6.7,-54949,-0.6,-2989,-0.1,6068,14.0,-54,-6.9,-2797,-6.9
"01061","5","23","74","0","2021","A","",51,153,5677006,1584436,28234,715,37206,"",1.17,0.58,0.57,0.51,0.36,0.98,0.98,"",5,10.9,15,10.9,501773,9.7,118974,8.1,6669,30.9,-8,-1.1,-409,-1.1
"01063","5","23","74","0","2021","A","",8,27,1854702,526909,7642,1301,67649,"",0.59,0.29,0.50,0.51,0.20,1.68,1.68,"",2,33.3,4,17.4,204745,12.4,111570,26.9,2529,49.5,-109,-7.7,-5682,-7.7
"01065","5","23","74","0","2021","A","",22,137,6861718,1308993,21316,966,50208,"",0.92,1.05,1.19,1.01,0.67,1.13,1.13,"",1,4.8,-2,-1.4,-146011,-2.1,-121682,-8.5,2755,14.8,-7,-0.7,-389,-0.8
"01067","5","23","74","0","2021","A","",29,215,12627170,2179687,29845,1128,58640,"",0.99,1.16,1.34,0.99,0.62,1.15,1.15,"",-1,-3.3,-2,-0.9,261339,2.1,68163,3.2,10974,58.2,33,3.0,1720,3.0
