"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","61","54","0","2021","A","",7,261,13410090,0,0,987,51330,"",3.18,1.52,1.15,0.00,0.00,0.76,0.76,"",0,0.0,-12,-4.4,174555,1.3,0,0.0,0,0.0,53,5.7,2774,5.7
"01000","2","61","54","0","2021","A","",157,44738,2819478312,0,0,1212,63022,"",1.54,1.71,1.92,0.00,0.00,1.12,1.12,"",-1,-0.6,-824,-1.8,14927053,0.5,0,0.0,0,0.0,28,2.4,1467,2.4
"01000","3","61","54","0","2021","A","",1918,94998,4372917023,968575,14741,885,46032,"",2.26,0.94,0.97,0.01,0.05,1.04,1.04,"",13,0.7,2026,2.2,222812789,5.4,215107,28.5,-5602,-27.5,27,3.1,1394,3.1
"01000","5","61","54","0","2021","A","",1289,18846,774850690,113177264,1713264,791,41114,"",0.71,0.49,0.43,0.69,0.67,0.88,0.88,"",121,10.4,911,5.1,33277112,4.5,6908847,6.5,628931,58.0,-4,-0.5,-233,-0.6
"01001","2","61","74","0","2021","A","N",1,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","61","74","0","2021","A","N",18,0,0,0,0,0,0,"N",3.08,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","61","74","0","2021","A","",11,253,9657346,1873397,21914,734,38184,"",0.88,1.16,1.16,2.27,1.62,1.00,1.00,"",1,10.0,28,12.4,2123216,28.2,292463,18.5,11396,108.3,89,13.8,4649,13.9
"01003","2","61","74","0","2021","A","",4,367,16889808,0,0,885,46032,"",0.76,0.36,0.36,0.00,0.00,1.01,1.01,"",0,0.0,-30,-7.6,357088,2.2,0,0.0,0,0.0,85,10.6,4414,10.6
"01003","3","61","74","0","2021","A","N",53,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","61","74","0","2021","A","",60,1047,47547492,8231509,110167,873,45402,"",0.65,0.70,0.83,1.21,1.11,1.19,1.19,"",8,15.4,22,2.1,967959,2.1,59918,0.7,39848,56.7,-1,-0.1,-30,-0.1
"01005","2","61","74","0","2021","A","N",2,0,0,0,0,0,0,"N",4.68,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","3","61","74","0","2021","A","N",11,0,0,0,0,0,0,"N",3.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","61","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","2","61","74","0","2021","A","N",1,0,0,0,0,0,0,"N",3.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","61","74","0","2021","A","N",16,0,0,0,0,0,0,"N",6.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","61","74","0","2021","A","",3,42,474943,286419,3294,216,11241,"",0.60,0.45,0.13,0.78,0.61,0.28,0.28,"",0,0.0,3,7.7,40988,9.4,-4090,-1.4,638,24.0,-1,-0.5,-31,-0.3
"01009","2","61","74","0","2021","A","N",1,0,0,0,0,0,0,"N",1.61,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","61","74","0","2021","A","",23,1252,49355067,0,0,758,39424,"",4.45,2.85,3.44,0.00,0.00,1.20,1.20,"",0,0.0,81,6.9,2283740,4.9,0,0.0,0,0.0,-15,-1.9,-771,-1.9
"01009","5","61","74","0","2021","A","N",3,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","2","61","74","0","2021","A","N",1,0,0,0,0,0,0,"N",7.02,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","3","61","74","0","2021","A","N",7,0,0,0,0,0,0,"N",5.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","2","61","74","0","2021","A","N",1,0,0,0,0,0,0,"N",2.70,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","3","61","74","0","2021","A","",8,405,16929548,0,0,803,41758,"",2.60,1.22,1.57,0.00,0.00,1.28,1.28,"",0,0.0,-13,-3.1,692850,4.3,0,0.0,0,0.0,56,7.5,2922,7.5
"01013","5","61","74","0","2021","A","N",3,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","1","61","74","0","2021","A","",1,3,188696,0,0,1281,66599,"",24.22,0.79,0.88,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,12497,7.1,0,0.0,0,0.0,85,7.1,4411,7.1
"01015","2","61","74","0","2021","A","N",5,0,0,0,0,0,0,"N",2.61,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","61","74","0","2021","A","",28,2327,103411967,0,0,854,44434,"",1.76,1.04,1.25,0.00,0.00,1.21,1.21,"",0,0.0,26,1.1,3448398,3.4,0,0.0,0,0.0,18,2.2,981,2.3
