"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","52","54","0","2021","A","",19,138,12583466,0,0,1748,90910,"",1.95,0.82,0.73,0.00,0.00,0.89,0.89,"",1,5.6,4,3.0,480821,4.0,0,0.0,0,0.0,11,0.6,592,0.7
"01000","2","52","54","0","2021","A","N",2,0,0,0,0,0,0,"N",1.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","52","54","0","2021","A","N",1,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","52","54","0","2021","A","",8902,72401,6458960171,752508980,12949235,1716,89211,"",1.30,0.86,0.73,0.83,0.95,0.84,0.84,"",389,4.6,791,1.1,419030677,6.9,65161430,9.5,5067909,64.3,94,5.8,4866,5.8
"01001","5","52","74","0","2021","A","",75,277,16227242,2406972,41141,1128,58635,"",1.58,0.58,0.40,0.53,0.57,0.68,0.68,"",4,5.6,0,0.0,505601,3.2,46763,2.0,11292,37.8,35,3.2,1776,3.1
"01003","1","52","74","0","2021","A","",1,8,586855,0,0,1382,71860,"",2.00,1.22,1.08,0.00,0.00,0.87,0.87,"",0,0.0,1,14.3,93690,19.0,0,0.0,0,0.0,27,2.0,1408,2.0
"01003","3","52","74","0","2021","A","N",1,0,0,0,0,0,0,"N",8.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","52","74","0","2021","A","",445,1982,154499250,19895787,340849,1499,77968,"",1.26,0.61,0.55,0.53,0.65,0.91,0.91,"",15,3.5,-18,-0.9,12844615,9.1,1455533,7.9,107944,46.3,137,10.1,7138,10.1
"01005","5","52","74","0","2021","A","",48,159,7699182,1416092,24176,933,48524,"",1.67,0.48,0.30,0.41,0.47,0.62,0.62,"",1,2.1,-14,-8.1,-504513,-6.1,-161985,-10.3,7389,44.0,22,2.4,1149,2.4
"01007","5","52","74","0","2021","A","",21,72,3013792,507695,6816,805,41858,"",1.11,0.35,0.17,0.25,0.24,0.47,0.47,"",1,5.0,-1,-1.4,-67353,-2.2,-12136,-2.3,2220,48.3,-6,-0.7,-301,-0.7
"01009","5","52","74","0","2021","A","",51,221,12782269,1844441,26234,1114,57904,"",1.22,0.61,0.45,0.54,0.56,0.74,0.74,"",2,4.1,-4,-1.8,1064081,9.1,140359,8.2,12402,89.7,114,11.4,5900,11.3
"01011","5","52","74","0","2021","A","",7,35,1410645,248449,3487,784,40790,"",0.73,0.29,0.14,0.19,0.13,0.48,0.48,"",0,0.0,2,6.1,175862,14.2,1491,0.6,1139,48.5,70,9.8,3654,9.8
"01013","5","52","74","0","2021","A","",33,116,4895992,918102,12964,811,42177,"",1.32,0.42,0.23,0.30,0.25,0.54,0.54,"",-1,-2.9,-10,-7.9,-176580,-3.5,-41746,-4.3,3294,34.1,37,4.8,1945,4.8
