"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","62","54","0","2021","A","",32,6821,536779407,0,0,1513,78701,"",2.04,1.20,1.31,0.00,0.00,1.10,1.10,"",0,0.0,62,0.9,12134797,2.3,0,0.0,0,0.0,20,1.3,1083,1.4
"01000","2","62","54","0","2021","A","",65,19879,1215500644,397626,4574,1176,61144,"",0.75,2.26,2.47,0.06,0.19,1.09,1.09,"",-3,-4.4,754,3.9,102016028,9.2,60687,18.0,-4524,-49.7,56,5.0,2923,5.0
"01000","3","62","54","0","2021","A","",231,34066,1924293843,22453001,285106,1086,56487,"",2.58,2.72,2.87,1.24,2.17,1.06,1.06,"",11,5.0,-23,-0.1,120812924,6.7,2770192,14.1,144967,103.4,69,6.8,3582,6.8
"01000","5","62","54","0","2021","A","",16077,212139,11665449633,1804372896,26509590,1057,54990,"",0.70,0.78,0.92,1.05,1.10,1.18,1.18,"",1386,9.4,1588,0.8,710042565,6.5,44464841,2.5,9429950,55.2,56,5.6,2958,5.7
"01001","2","62","74","0","2021","A","N",3,0,0,0,0,0,0,"N",5.04,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","62","74","0","2021","A","N",1,0,0,0,0,0,0,"N",1.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","62","74","0","2021","A","",113,979,40448270,10087979,138135,795,41326,"",0.71,0.64,0.70,1.17,1.08,1.09,1.09,"",9,8.7,25,2.6,2991577,8.0,227138,2.3,44912,48.2,40,5.3,2067,5.3
"01003","3","62","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","62","74","0","2021","A","",798,9342,488246944,77324678,1076637,1005,52265,"",0.68,0.88,1.22,1.08,1.14,1.38,1.38,"",77,10.7,146,1.6,40772277,9.1,1859291,2.5,412683,62.2,69,7.4,3603,7.4
"01005","3","62","74","0","2021","A","N",2,0,0,0,0,0,0,"N",5.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","62","74","0","2021","A","N",86,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,"N",18,26.5,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","62","74","0","2021","A","N",1,0,0,0,0,0,0,"N",4.05,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","62","74","0","2021","A","",49,509,24432715,5488674,72431,923,48009,"",0.77,0.77,0.94,1.42,1.41,1.22,1.22,"",6,14.0,21,4.3,2223771,10.0,416079,8.2,16034,28.4,48,5.5,2499,5.5
"01009","5","62","74","0","2021","A","N",90,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",6,7.1,0,0,0,0,0,0,0,0,0,0,0,0
"01011","3","62","74","0","2021","A","N",3,0,0,0,0,0,0,"N",23.99,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","62","74","0","2021","A","",51,484,20871899,4840891,73140,829,43087,"",1.59,1.25,1.44,1.99,1.55,1.16,1.16,"",7,15.9,-29,-5.7,-1244740,-5.6,-290273,-5.7,4013,5.8,-1,-0.1,-60,-0.1
"01013","3","62","74","0","2021","A","",4,16,431234,0,0,521,27093,"",12.30,0.39,0.27,0.00,0.00,0.69,0.69,"",0,0.0,-3,-15.8,-60189,-12.2,0,0.0,0,0.0,10,2.0,530,2.0
"01013","5","62","74","0","2021","A","N",76,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,"N",18,31.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","1","62","74","0","2021","A","",5,77,5143545,0,0,1293,67236,"",17.02,0.61,0.68,0.00,0.00,1.13,1.13,"",0,0.0,10,14.9,590400,13.0,0,0.0,0,0.0,-6,-0.5,-301,-0.4
"01015","2","62","74","0","2021","A","N",2,0,0,0,0,0,0,"N",1.24,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","62","74","0","2021","A","",16,1994,100814042,300589,8116,972,50557,"",9.53,7.18,8.17,0.87,3.47,1.14,1.14,"",1,6.7,-4,-0.2,4787189,5.0,107302,55.5,2897,55.5,48,5.2,2492,5.2
"01015","5","62","74","0","2021","A","",386,3855,172378192,36039077,527616,860,44714,"",0.90,0.64,0.74,1.10,1.23,1.15,1.15,"",28,7.8,-49,-1.3,3864669,2.3,-390027,-1.1,176521,50.3,30,3.6,1548,3.6
"01017","3","62","74","0","2021","A","N",1,0,0,0,0,0,0,"N",2.33,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","62","74","0","2021","A","N",83,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",10,13.7,0,0,0,0,0,0,0,0,0,0,0,0
"01019","3","62","74","0","2021","A","N",3,0,0,0,0,0,0,"N",10.78,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","62","74","0","2021","A","N",50,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,"N",6,13.6,0,0,0,0,0,0,0,0,0,0,0,0
"01021","2","62","74","0","2021","A","N",1,0,0,0,0,0,0,"N",1.94,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","3","62","74","0","2021","A","",6,36,1155314,300594,4387,624,32468,"",11.20,0.62,0.47,3.85,7.95,0.77,0.77,"",1,20.0,0,0.0,-36888,-3.1,-49616,-14.2,2319,112.1,-10,-1.6,-496,-1.5
"01021","5","62","74","0","2021","A","",96,792,36992302,5827549,87793,898,46693,"",0.70,0.63,0.80,0.79,0.87,1.27,1.27,"",1,1.1,-69,-8.0,-1128966,-3.0,-731321,-11.2,20108,29.7,47,5.5,2422,5.5
"01023","3","62","74","0","2021","A","N",2,0,0,0,0,0,0,"N",9.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","62","74","0","2021","A","N",66,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,"N",9,15.8,0,0,0,0,0,0,0,0,0,0,0,0
"01025","2","62","74","0","2021","A","N",2,0,0,0,0,0,0,"N",4.61,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","3","62","74","0","2021","A","N",2,0,0,0,0,0,0,"N",4.44,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","62","74","0","2021","A","",95,880,35256991,8732377,135610,770,40053,"",0.82,0.79,0.80,1.32,1.54,1.01,1.01,"",14,17.3,-49,-5.3,-600255,-1.7,-82971,-0.9,36171,36.4,28,3.8,1466,3.8
"01027","3","62","74","0","2021","A","N",2,0,0,0,0,0,0,"N",13.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","62","74","0","2021","A","N",33,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","3","62","74","0","2021","A","",5,135,5092654,1184095,13616,725,37700,"",30.70,9.51,7.09,60.48,75.35,0.75,0.75,"",0,0.0,-5,-3.6,-214616,-4.0,16025,1.4,6725,97.6,-7,-1.0,-345,-0.9
"01029","5","62","74","0","2021","A","",25,106,3746236,1050555,21376,678,35231,"",0.60,0.34,0.28,0.56,0.64,0.80,0.80,"",1,4.2,29,37.7,959932,34.5,371075,54.6,14681,219.3,-21,-3.0,-1112,-3.1
"01031","1","62","74","0","2021","A","",1,4,299972,0,0,1442,74993,"",7.78,0.08,0.12,0.00,0.00,1.41,1.41,"",0,0.0,1,33.3,46423,18.3,0,0.0,0,0.0,-98,-6.4,-5075,-6.3
"01031","3","62","74","0","2021","A","N",2,0,0,0,0,0,0,"N",2.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","62","74","0","2021","A","",141,1980,85848212,18623458,262511,834,43360,"",0.75,0.87,1.09,1.24,1.31,1.25,1.25,"",14,11.0,-14,-0.7,2921511,3.5,226437,1.2,110504,72.7,34,4.2,1767,4.2
"01033","1","62","74","0","2021","A","",1,24,1913669,0,0,1512,78644,"",6.27,0.35,0.42,0.00,0.00,1.16,1.16,"",0,0.0,-1,-4.0,-165971,-8.0,0,0.0,0,0.0,-61,-3.9,-3178,-3.9
"01033","2","62","74","0","2021","A","N",2,0,0,0,0,0,0,"N",2.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","3","62","74","0","2021","A","N",6,0,0,0,0,0,0,"N",6.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","62","74","0","2021","A","",180,1961,101829172,18359408,278591,999,51932,"",0.77,0.61,0.72,0.89,0.85,1.18,1.18,"",15,9.1,34,1.8,7477939,7.9,1101586,6.4,102656,58.3,57,6.1,2965,6.1
"01035","5","62","74","0","2021","A","N",28,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",3,12.0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","62","74","0","2021","A","",15,107,3441606,861939,10724,619,32165,"",0.62,0.59,0.52,0.83,0.70,0.88,0.88,"",3,25.0,-10,-8.5,-153142,-4.3,2290,0.3,4965,86.2,29,4.9,1506,4.9
"01039","2","62","74","0","2021","A","N",1,0,0,0,0,0,0,"N",1.67,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","3","62","74","0","2021","A","",3,10,274660,0,0,507,26367,"",4.83,0.13,0.09,0.00,0.00,0.65,0.65,"",0,0.0,-2,-16.7,-38339,-12.2,0,0.0,0,0.0,16,3.3,816,3.2
"01039","5","62","74","0","2021","A","",135,1717,71235839,14256181,203473,798,41493,"",0.85,1.05,1.22,1.44,1.30,1.17,1.17,"N",18,15.4,0,0,0,0,0,0,0,0,0,0,0,0
"01041","3","62","74","0","2021","A","N",2,0,0,0,0,0,0,"N",10.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","62","74","0","2021","A","N",39,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,"N",6,18.2,0,0,0,0,0,0,0,0,0,0,0,0
"01043","3","62","74","0","2021","A","N",2,0,0,0,0,0,0,"N",1.59,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","62","74","0","2021","A","",237,3798,195576435,24973784,379994,990,51499,"",0.73,0.94,1.25,0.96,1.11,1.33,1.33,"",20,9.2,19,0.5,14360137,7.9,-406197,-1.6,141646,59.4,68,7.4,3550,7.4
"01045","1","62","74","0","2021","A","",5,434,26665369,0,0,1180,61382,"",47.56,8.65,6.90,0.00,0.00,0.80,0.80,"",0,0.0,7,1.6,385207,1.5,0,0.0,0,0.0,-5,-0.4,-224,-0.4
"01045","3","62","74","0","2021","A","N",5,0,0,0,0,0,0,"N",8.32,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","62","74","0","2021","A","",123,978,34841653,9559669,144523,685,35628,"",0.80,0.41,0.29,0.77,0.91,0.71,0.71,"",25,25.5,99,11.3,3071171,9.7,1502930,18.7,79820,123.4,-10,-1.4,-519,-1.4
"01047","1","62","74","0","2021","A","",1,9,745175,0,0,1578,82038,"",10.16,0.28,0.40,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,697,0.1,0,0.0,0,0.0,-43,-2.7,-2243,-2.7
"01047","2","62","74","0","2021","A","N",1,0,0,0,0,0,0,"N",1.85,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","3","62","74","0","2021","A","",10,157,4231364,0,0,517,26880,"",17.78,2.19,1.40,0.00,0.00,0.64,0.64,"",0,0.0,-15,-8.7,-267036,-5.9,0,0.0,0,0.0,13,2.6,663,2.5
"01047","5","62","74","0","2021","A","",146,1548,72307417,13888584,196477,898,46700,"",1.01,0.99,1.26,1.51,1.23,1.27,1.27,"",13,9.8,-70,-4.3,-36678,-0.1,-757965,-5.2,58024,41.9,38,4.4,1990,4.5
