"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","51","54","0","2021","A","",2,10,338571,0,0,630,32765,"",1.16,0.11,0.05,0.00,0.00,0.47,0.47,"",0,0.0,-1,-9.1,1783,0.5,0,0.0,0,0.0,28,4.7,1436,4.6
"01000","2","51","54","0","2021","A","",9,84,5392361,0,0,1228,63878,"",2.17,1.02,1.53,0.00,0.00,1.49,1.49,"",0,0.0,1,1.2,115565,2.2,0,0.0,0,0.0,4,0.3,238,0.4
"01000","3","51","54","0","2021","A","",53,669,17889312,672554,10869,514,26750,"",0.81,0.41,0.36,0.30,0.82,0.87,0.87,"",-2,-3.6,-5,-0.7,-185306,-1.0,21181,3.3,4472,69.9,-2,-0.4,-84,-0.3
"01000","5","51","54","0","2021","A","",3269,20048,1504127470,203173976,4103770,1443,75026,"",1.13,0.52,0.32,0.43,0.46,0.61,0.61,"",703,27.4,738,3.8,164162610,12.3,17052875,9.2,1049718,34.4,109,8.2,5633,8.1
"01001","3","51","74","0","2021","A","N",1,0,0,0,0,0,0,"N",2.21,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","51","74","0","2021","A","",9,22,1434410,166528,3268,1244,64710,"",0.45,0.10,0.07,0.07,0.07,0.65,0.65,"",3,50.0,-1,-4.3,-120660,-7.8,-51959,-23.8,-410,-11.1,-47,-3.6,-2415,-3.6
"01003","2","51","74","0","2021","A","N",1,0,0,0,0,0,0,"N",4.69,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","51","74","0","2021","A","N",2,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","51","74","0","2021","A","",110,413,25729170,3953305,86553,1199,62323,"",0.74,0.27,0.17,0.20,0.25,0.63,0.63,"",21,23.6,7,1.7,2874709,12.6,410606,11.6,17350,25.1,116,10.7,6020,10.7
"01005","5","51","74","0","2021","A","",4,14,678863,107917,2187,927,48203,"",0.33,0.09,0.05,0.06,0.07,0.53,0.53,"",0,0.0,1,7.7,48846,7.8,-2444,-2.2,-301,-12.1,24,2.7,1245,2.7
"01007","3","51","74","0","2021","A","N",1,0,0,0,0,0,0,"N",5.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","51","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","51","74","0","2021","A","",8,53,3493781,581876,6489,1266,65817,"",0.45,0.32,0.23,0.33,0.21,0.73,0.73,"",0,0.0,1,1.9,80893,2.4,80182,16.0,3532,119.4,14,1.1,706,1.1
