"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","55","54","0","2021","A","",995,15833,1730438066,241238217,3511073,2102,109291,"",0.97,0.49,0.47,0.55,0.56,0.96,0.96,"",51,5.4,44,0.3,103814208,6.4,3957818,1.7,1230652,54.0,121,6.1,6266,6.1
"01001","5","55","74","0","2021","A","N",4,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","55","74","0","2021","A","",32,254,20519958,4151482,53030,1553,80734,"",0.61,0.20,0.18,0.23,0.22,0.87,0.87,"",-3,-8.6,-29,-10.2,815439,4.1,-276827,-6.3,10896,25.9,215,16.1,11148,16.0
"01005","5","55","74","0","2021","A","",3,13,395313,235657,4522,608,31625,"",0.70,0.10,0.04,0.14,0.19,0.37,0.38,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","55","74","0","2021","A","N",2,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","55","74","0","2021","A","",3,20,2662837,215075,2401,2582,134261,"",0.48,0.14,0.23,0.13,0.11,1.59,1.59,"",0,0.0,1,5.3,-57013,-2.1,-524,-0.2,-472,-16.4,-171,-6.2,-8889,-6.2
"01015","5","55","74","0","2021","A","",8,108,13542027,1898146,23550,2417,125680,"",0.42,0.15,0.20,0.23,0.21,1.33,1.33,"",-2,-20.0,-6,-5.3,3800941,39.0,190931,11.2,11761,99.8,771,46.8,40107,46.9
"01017","5","55","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,"N",-2,-66.7,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","55","74","0","2021","A","N",2,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","55","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","55","74","0","2021","A","N",2,0,0,0,0,0,0,"N",1.08,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","55","74","0","2021","A","N",5,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","55","74","0","2021","A","",5,111,5390202,1191438,13984,935,48597,"",0.48,0.29,0.13,0.23,0.16,0.45,0.45,"",0,0.0,10,9.9,352537,7.0,3176,0.3,6516,87.3,-25,-2.6,-1322,-2.6
"01037","5","55","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","55","74","0","2021","A","N",3,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","55","74","0","2021","A","",10,153,13224201,1861056,20595,1662,86433,"",0.70,0.32,0.29,0.28,0.23,0.91,0.91,"",1,11.1,-16,-9.5,-1055273,-7.4,37374,2.0,9749,89.9,34,2.1,1772,2.1
"01045","5","55","74","0","2021","A","",8,424,22727782,5301948,90655,1031,53593,"",1.17,1.50,0.66,1.69,2.20,0.44,0.44,"",-1,-11.1,46,12.2,3680825,19.3,521213,10.9,40982,82.5,61,6.3,3160,6.3
"01047","5","55","74","0","2021","A","",4,47,3331557,474306,9807,1356,70509,"",0.62,0.26,0.20,0.20,0.24,0.78,0.78,"",0,0.0,4,9.3,133169,4.2,22510,5.0,2053,26.5,-63,-4.4,-3300,-4.5
"01049","5","55","74","0","2021","A","",6,45,3007318,439249,6526,1297,67454,"",0.63,0.12,0.09,0.09,0.09,0.74,0.74,"",2,50.0,12,36.4,745412,33.0,99522,29.3,4056,164.2,-28,-2.1,-1437,-2.1
"01051","5","55","74","0","2021","A","",10,38,3217563,850591,10600,1618,84119,"",0.89,0.12,0.12,0.21,0.20,1.02,1.02,"",0,0.0,0,0.0,262715,8.9,85072,11.1,-4070,-27.7,129,8.7,6699,8.7
"01053","5","55","74","0","2021","A","N",2,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","55","74","0","2021","A","",17,83,8082349,1322243,18985,1869,97183,"",1.06,0.16,0.18,0.18,0.18,1.11,1.11,"",3,21.4,5,6.4,2008153,33.1,339738,34.6,9919,109.4,376,25.2,19557,25.2
"01057","5","55","74","0","2021","A","N",3,0,0,0,0,0,0,"N",1.17,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","55","74","0","2021","A","N",4,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","55","74","0","2021","A","N",3,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","5","55","74","0","2021","A","",3,30,20216843,439752,5345,13068,679558,"",1.12,0.51,3.34,0.57,0.58,6.59,6.60,"",0,0.0,-4,-11.8,1106871,5.8,-113348,-20.5,2081,63.8,2206,20.3,114731,20.3
"01069","5","55","74","0","2021","A","",20,147,16088485,2381324,32125,2108,109632,"",0.85,0.19,0.20,0.23,0.22,1.08,1.08,"",1,5.3,5,3.5,423549,2.7,249169,11.7,12624,64.7,-18,-0.8,-944,-0.9
"01071","5","55","74","0","2021","A","",5,45,4381174,602647,9149,1862,96822,"",0.64,0.18,0.20,0.18,0.15,1.07,1.07,"",0,0.0,-1,-2.2,105707,2.5,-121965,-16.8,3643,66.2,55,3.0,2856,3.0
"01073","5","55","74","0","2021","A","",197,5536,702224080,89562861,1204101,2440,126858,"",1.32,0.98,0.94,1.16,1.14,0.96,0.96,"",0,0.0,-161,-2.8,-4009515,-0.6,1902231,2.2,484865,67.4,56,2.3,2898,2.3
"01077","5","55","74","0","2021","A","",11,196,11187992,2199997,35050,1100,57179,"",0.69,0.42,0.28,0.36,0.38,0.67,0.67,"",0,0.0,35,21.7,2443436,27.9,325331,17.4,15180,76.4,55,5.3,2837,5.2
"01079","5","55","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","55","74","0","2021","A","",21,141,20420268,2225394,51062,2783,144739,"",0.79,0.15,0.22,0.19,0.31,1.51,1.51,"",2,10.5,12,9.3,6793484,49.9,162065,7.9,6437,14.4,758,37.4,39445,37.5
"01083","5","55","74","0","2021","A","",7,79,5926179,1221016,15423,1438,74778,"",0.59,0.19,0.13,0.21,0.15,0.66,0.66,"",0,0.0,-9,-10.2,992065,20.1,70631,6.1,7975,107.1,354,32.7,18388,32.6
