"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","31-33","54","0","2021","A","N",2,0,0,0,0,0,0,"N",3.72,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","31-33","54","0","2021","A","",6050,264500,16556422238,2709626705,45320213,1204,62595,"",1.29,1.57,1.60,1.50,1.57,1.02,1.02,"",277,4.8,6172,2.4,956698794,6.1,92284155,3.5,13410192,42.0,43,3.7,2208,3.7
"01001","5","31-33","74","0","2021","A","",29,1485,94831083,14936571,387785,1228,63874,"",0.90,1.56,2.00,1.64,2.54,1.28,1.28,"",5,20.8,-7,-0.5,-541802,-0.6,33739,0.2,98837,34.2,-1,-0.1,-60,-0.1
"01003","5","31-33","74","0","2021","A","",225,3655,203218420,35748059,576942,1069,55601,"",0.93,0.56,0.62,0.47,0.51,1.11,1.11,"",14,6.6,-159,-4.2,1203993,0.6,-1398063,-3.8,147387,34.3,50,4.9,2628,5.0
"01005","5","31-33","74","0","2021","A","",27,2138,94087171,22945123,352642,846,44005,"",1.37,3.24,3.12,3.30,3.24,0.96,0.97,"",2,8.0,-122,-5.4,-16771046,-15.1,-1171486,-4.9,64113,22.2,-97,-10.3,-5038,-10.3
"01007","5","31-33","74","0","2021","A","",23,638,32208175,6456830,92480,971,50476,"",1.78,1.57,1.53,1.59,1.51,0.97,0.97,"",0,0.0,67,11.7,4396333,15.8,360634,5.9,50823,122.0,34,3.6,1726,3.5
"01009","5","31-33","74","0","2021","A","",55,1271,59071234,11819272,164150,894,46485,"",1.92,1.75,1.78,1.75,1.66,1.02,1.02,"",3,5.8,-22,-1.7,3734467,6.7,-99887,-0.8,33689,25.8,71,8.6,3688,8.6
"01011","5","31-33","74","0","2021","A","",9,739,30369162,8364635,133398,790,41095,"",1.37,3.07,2.57,3.26,2.36,0.83,0.84,"",1,12.5,-17,-2.2,2838350,10.3,-266769,-3.1,45056,51.0,90,12.9,4699,12.9
"01013","5","31-33","74","0","2021","A","",23,1243,66635029,12935010,318276,1031,53623,"",1.35,2.26,2.68,2.14,2.87,1.18,1.19,"",-1,-4.2,-11,-0.9,3657704,5.8,-474964,-3.5,97752,44.3,65,6.7,3395,6.8
"01015","5","31-33","74","0","2021","A","",138,6543,383917490,63972552,1058590,1128,58675,"",1.57,1.76,2.02,1.85,2.06,1.15,1.15,"",5,3.8,189,3.0,35442931,10.2,5269945,9.0,401123,61.0,73,6.9,3835,7.0
"01017","5","31-33","74","0","2021","A","",28,2062,118581699,21551876,398630,1106,57496,"",1.25,2.88,3.49,2.95,3.39,1.21,1.21,"",1,3.7,123,6.3,9340758,8.6,2830493,15.1,217075,119.6,22,2.0,1148,2.0
"01019","5","31-33","74","0","2021","A","",20,925,41299784,10199818,218508,859,44669,"",1.37,2.08,2.12,2.22,2.84,1.02,1.02,"",1,5.3,105,12.8,6128093,17.4,854082,9.1,65387,42.7,34,4.1,1768,4.1
"01021","5","31-33","74","0","2021","A","",43,1842,98879552,18626986,362659,1032,53688,"",1.53,2.37,2.63,2.38,2.99,1.11,1.11,"",-4,-8.5,18,1.0,3763608,4.0,-94383,-0.5,121136,50.2,29,2.9,1541,3.0
"01023","5","31-33","74","0","2021","A","N",8,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,"N",-1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","31-33","74","0","2021","A","",27,1836,131468605,17556083,284683,1377,71606,"",1.14,2.66,3.65,2.51,2.71,1.37,1.37,"",3,12.5,240,15.0,23954269,22.3,1788305,11.3,115763,68.5,82,6.3,4255,6.3
"01027","5","31-33","74","0","2021","A","",12,2302,99980412,25005839,382290,835,43434,"",1.53,6.34,6.03,6.49,6.50,0.95,0.95,"",1,9.1,13,0.6,8139947,8.9,558788,2.3,132429,53.0,63,8.2,3307,8.2
"01029","5","31-33","74","0","2021","A","",10,292,19959105,3151345,38486,1316,68451,"",1.17,1.53,1.80,1.61,0.97,1.18,1.18,"",0,0.0,12,4.3,909414,4.8,428952,15.8,18652,94.0,5,0.4,295,0.4
"01031","5","31-33","74","0","2021","A","",47,3058,129214934,32687106,425662,813,42251,"",1.22,2.18,2.01,2.06,1.78,0.92,0.92,"",1,2.2,-295,-8.8,-1109303,-0.9,-2941980,-8.3,53369,14.3,65,8.7,3379,8.7
"01033","5","31-33","74","0","2021","A","",114,5443,343325368,56539947,964017,1213,63079,"",2.39,2.71,2.95,2.60,2.46,1.09,1.09,"",3,2.7,-179,-3.2,12534920,3.8,151946,0.3,229388,31.2,81,7.2,4240,7.2
"01035","5","31-33","74","0","2021","A","",16,526,22706956,5438959,118682,831,43210,"",1.79,1.90,1.72,1.83,2.49,0.91,0.91,"",0,0.0,14,2.7,609712,2.8,142771,2.7,-10185,-7.9,1,0.1,58,0.1
"01037","5","31-33","74","0","2021","A","",6,483,24704446,5319228,100251,983,51121,"",1.21,4.29,4.56,4.88,5.45,1.06,1.06,"",-1,-14.3,-22,-4.4,2297798,10.3,485041,10.0,48765,94.7,130,15.2,6788,15.3
"01039","5","31-33","74","0","2021","A","",36,2209,91728850,22682960,628548,798,41520,"",1.11,2.18,1.93,2.16,3.37,0.89,0.89,"",0,0.0,125,6.0,9635998,11.7,1521221,7.2,-110718,-15.0,40,5.3,2119,5.4
"01041","5","31-33","74","0","2021","A","",10,865,39167270,8457034,249874,871,45267,"",1.04,3.02,2.93,2.84,3.74,0.97,0.97,"",-2,-16.7,-91,-9.5,-2512669,-6.0,-2144004,-20.2,116487,87.3,32,3.8,1654,3.8
"01043","5","31-33","74","0","2021","A","",135,6186,326412649,63698161,1042969,1015,52766,"",2.05,2.48,2.56,2.32,2.55,1.03,1.03,"",7,5.5,525,9.3,32398778,11.0,5736038,9.9,493988,90.0,16,1.6,828,1.6
