"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","21","54","0","2021","A","",344,5030,432799774,60423976,1075495,1655,86048,"",0.86,0.72,0.70,0.67,0.59,0.98,0.98,"",6,1.8,-845,-14.4,-57837290,-11.8,-991165,-1.6,269151,33.4,49,3.1,2532,3.0
"01001","5","21","74","0","2021","A","",7,81,5076459,948700,27344,1203,62544,"",2.55,2.04,1.79,2.08,2.83,0.88,0.88,"",2,40.0,-1,-1.2,300635,6.3,831,0.1,-2126,-7.2,89,8.0,4597,7.9
"01003","5","21","74","0","2021","A","",19,74,4260928,923119,12262,1102,57322,"",0.93,0.27,0.22,0.25,0.17,0.80,0.80,"",2,11.8,4,5.7,105474,2.5,34266,3.9,634,5.5,-36,-3.2,-1830,-3.1
"01005","5","21","74","0","2021","A","",4,96,6409793,1006673,28504,1280,66538,"",2.40,3.49,3.57,2.90,4.14,1.02,1.02,"",-2,-33.3,-3,-3.0,-372586,-5.5,-207063,-17.1,1479,5.5,-43,-3.3,-2260,-3.3
"01007","5","21","74","0","2021","A","N",2,0,0,0,0,0,0,"N",1.82,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","21","74","0","2021","A","N",2,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","21","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","21","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","21","74","0","2021","A","N",2,0,0,0,0,0,0,"N",2.03,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","21","74","0","2021","A","",4,63,3323866,712152,8190,1008,52413,"",2.00,2.19,1.55,2.04,1.23,0.70,0.70,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","21","74","0","2021","A","N",1,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","21","74","0","2021","A","",7,120,9704235,1516242,34645,1559,81094,"",1.73,1.44,1.40,1.40,1.40,0.98,0.98,"",0,0.0,19,18.8,2379776,32.5,576971,61.4,17569,102.9,167,12.0,8694,12.0
"01035","5","21","74","0","2021","A","N",2,0,0,0,0,0,0,"N",2.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","21","74","0","2021","A","N",3,0,0,0,0,0,0,"N",1.09,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","21","74","0","2021","A","N",3,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","21","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","21","74","0","2021","A","N",2,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
