"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","81","54","0","2021","A","",4,481,63607959,0,0,2541,132127,"",1.98,7.37,20.75,0.00,0.00,2.81,2.81,"",0,0.0,24,5.3,5235641,9.0,0,0.0,0,0.0,84,3.4,4351,3.4
"01000","2","81","54","0","2021","A","N",4,0,0,0,0,0,0,"N",1.82,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","81","54","0","2021","A","",29,427,23803300,125891,2248,1072,55735,"",1.08,1.00,1.38,0.13,0.16,1.38,1.38,"",0,0.0,14,3.4,2536177,11.9,32319,34.5,1001,80.3,82,8.3,4262,8.3
"01000","5","81","54","0","2021","A","",9357,44169,1932219387,438087982,7798247,841,43746,"",0.87,0.78,0.92,0.88,1.03,1.18,1.18,"",309,3.4,1802,4.3,176683653,10.1,23805047,5.7,2587630,49.7,44,5.5,2309,5.6
"01001","5","81","74","0","2021","A","",78,275,8538319,2652294,41325,598,31086,"",1.05,0.86,0.89,1.06,1.03,1.04,1.04,"",5,6.8,24,9.6,447758,5.5,243295,10.1,14817,55.9,-21,-3.4,-1094,-3.4
"01003","5","81","74","0","2021","A","",475,1998,83975947,20280565,325638,808,42035,"",0.86,0.90,1.26,0.98,1.10,1.40,1.40,"",25,5.6,131,7.0,9618768,12.9,1399827,7.4,106556,48.6,42,5.5,2211,5.6
"01005","3","81","74","0","2021","A","N",1,0,0,0,0,0,0,"N",8.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","81","74","0","2021","A","",28,121,4143424,1059711,16036,661,34361,"",0.62,0.54,0.68,0.56,0.56,1.25,1.25,"",-1,-3.4,-8,-6.2,8652,0.2,-14437,-1.3,5025,45.6,47,7.7,2412,7.5
"01007","5","81","74","0","2021","A","N",24,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,"N",2,9.1,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","81","74","0","2021","A","",68,305,10495538,2942932,42768,663,34468,"",1.03,1.24,1.56,1.58,1.64,1.26,1.26,"",4,6.2,2,0.7,1427910,15.7,4906,0.2,15167,55.0,87,15.1,4534,15.1
"01011","5","81","74","0","2021","A","N",9,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,"N",-1,-10.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","81","74","0","2021","A","",30,88,3004348,813244,12418,657,34140,"",0.77,0.47,0.60,0.49,0.43,1.25,1.25,"",-2,-6.2,2,2.3,312192,11.6,84213,11.6,3738,43.1,53,8.8,2745,8.7
"01015","2","81","74","0","2021","A","N",1,0,0,0,0,0,0,"N",24.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","81","74","0","2021","A","N",2,0,0,0,0,0,0,"N",3.96,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","81","74","0","2021","A","",199,839,28625689,8230486,149003,656,34132,"",0.99,0.67,0.74,0.87,1.10,1.11,1.11,"",8,4.2,75,9.8,3486139,13.9,914226,12.5,56416,60.9,23,3.6,1238,3.8
"01017","3","81","74","0","2021","A","N",1,0,0,0,0,0,0,"N",7.76,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","81","74","0","2021","A","",42,108,4044821,1007917,19746,718,37337,"",0.81,0.45,0.59,0.50,0.64,1.31,1.31,"",3,7.7,6,5.9,475062,13.3,28523,2.9,7950,67.4,48,7.2,2482,7.1
"01019","5","81","74","0","2021","A","",21,76,2060578,567166,8500,523,27172,"",0.63,0.51,0.52,0.45,0.42,1.03,1.03,"",0,0.0,4,5.6,-74115,-3.5,-58715,-9.4,548,6.9,-47,-8.2,-2442,-8.2
"01021","5","81","74","0","2021","A","",62,299,8358326,2569455,36256,537,27939,"",0.96,1.14,1.09,1.20,1.14,0.96,0.96,"",-2,-3.1,6,2.0,-34225,-0.4,-72272,-2.7,4145,12.9,-13,-2.4,-680,-2.4
