"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","92","54","0","2021","A","",500,33943,3305518052,0,0,1873,97386,"",1.54,1.56,1.90,0.00,0.00,1.22,1.22,"",2,0.4,-511,-1.5,69133771,2.1,0,0.0,0,0.0,67,3.7,3451,3.7
"01000","2","92","54","0","2021","A","",943,30414,1647782990,40000,784,1042,54178,"",1.47,1.25,1.24,0.00,0.00,0.99,0.99,"",5,0.5,-569,-1.8,13935879,0.9,-805,-2.0,-1734,-68.9,28,2.8,1444,2.7
"01000","3","92","54","0","2021","A","",647,60831,2848320036,67007733,840633,900,46823,"",0.80,1.10,0.99,0.69,1.20,0.90,0.90,"",4,0.6,-175,-0.3,88245710,3.2,2885835,4.5,371767,79.3,30,3.4,1581,3.5
"01001","1","92","74","0","2021","A","",6,12,823980,0,0,1330,69145,"",2.68,0.10,0.10,0.00,0.00,1.07,1.07,"",0,0.0,-6,-33.3,-79115,-8.8,0,0.0,0,0.0,365,37.8,18973,37.8
"01001","2","92","74","0","2021","A","",11,184,8142659,0,0,849,44154,"",2.49,1.33,1.33,0.00,0.00,1.00,1.00,"",-1,-8.3,-2,-1.1,246538,3.1,0,0.0,0,0.0,30,3.7,1587,3.7
"01001","3","92","74","0","2021","A","",5,603,28455768,10356,119,908,47216,"",0.90,1.93,2.17,0.02,0.03,1.12,1.12,"",0,0.0,9,1.5,2145143,8.2,-1944,-15.8,47,65.3,56,6.6,2928,6.6
"01003","1","92","74","0","2021","A","",13,123,9640145,0,0,1508,78428,"",0.78,0.15,0.18,0.00,0.00,1.21,1.21,"",0,0.0,-14,-10.2,189255,2.0,0,0.0,0,0.0,185,14.0,9611,14.0
"01003","2","92","74","0","2021","A","",20,682,31232216,0,0,881,45817,"",0.61,0.72,0.74,0.00,0.00,1.03,1.03,"",0,0.0,-24,-3.4,761048,2.5,0,0.0,0,0.0,51,6.1,2647,6.1
"01003","3","92","74","0","2021","A","",16,3388,162493690,5816326,66891,922,47962,"",0.39,1.58,1.80,1.44,2.44,1.14,1.14,"",0,0.0,96,2.9,7466019,4.8,373790,6.9,34782,108.3,16,1.8,876,1.9
"01005","1","92","74","0","2021","A","",4,10,642570,0,0,1225,63726,"",2.94,0.12,0.13,0.00,0.00,1.08,1.08,"",0,0.0,-9,-47.4,-142625,-18.2,0,0.0,0,0.0,444,56.9,23112,56.9
