"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","53","54","0","2021","A","N",132,0,0,0,0,0,0,"N",5.97,0,0,0,0,0,0,"N",-1,-0.8,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","53","54","0","2021","A","",5642,23903,1293541672,247926436,4264409,1041,54116,"",0.98,0.79,0.76,0.79,0.80,0.96,0.96,"",274,5.1,798,3.5,136833262,11.8,17341668,7.5,1302601,44.0,78,8.1,4054,8.1
"01001","3","53","74","0","2021","A","N",1,0,0,0,0,0,0,"N",6.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","53","74","0","2021","A","",46,127,5365993,1258421,17751,815,42391,"",1.16,0.74,0.69,0.80,0.63,0.93,0.93,"",-1,-2.1,-5,-3.8,11358,0.2,-203189,-13.9,2109,13.5,35,4.5,1851,4.6
"01003","3","53","74","0","2021","A","N",2,0,0,0,0,0,0,"N",1.76,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","53","74","0","2021","A","",529,2347,105210996,25849753,450478,862,44836,"",1.79,1.98,1.95,1.99,2.18,0.98,0.98,"",46,9.5,310,15.2,18336242,21.1,3824116,17.4,123029,37.6,42,5.1,2179,5.1
"01005","3","53","74","0","2021","A","N",2,0,0,0,0,0,0,"N",21.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","53","74","0","2021","A","",23,51,2254680,519727,8609,853,44354,"",0.95,0.43,0.45,0.43,0.43,1.07,1.07,"",-1,-4.2,2,4.1,226557,11.2,74836,16.8,2226,34.9,52,6.5,2680,6.4
"01007","3","53","74","0","2021","A","N",1,0,0,0,0,0,0,"N",16.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","53","74","0","2021","A","",12,22,684047,202748,3510,612,31816,"",0.76,0.30,0.20,0.29,0.31,0.67,0.67,"",0,0.0,0,0.0,24748,3.8,-10855,-5.1,421,13.6,36,6.2,1848,6.2
"01009","3","53","74","0","2021","A","N",2,0,0,0,0,0,0,"N",14.80,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
