"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","44-45","54","0","2021","A","",13,891,26105521,0,0,563,29288,"",1.49,1.55,1.66,0.00,0.00,1.07,1.07,"",1,8.3,33,3.8,-3421547,-11.6,0,0.0,0,0.0,-99,-15.0,-5116,-14.9
"01000","2","44-45","54","0","2021","A","N",168,0,0,0,0,0,0,"N",30.16,0,0,0,0,0,0,"N",-5,-2.9,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","44-45","54","0","2021","A","N",4,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","44-45","54","0","2021","A","",18619,232333,7910941522,2249906680,31546888,655,34050,"",1.38,1.11,1.18,1.18,1.37,1.07,1.07,"",262,1.4,7372,3.3,815690264,11.5,134750625,6.4,12543707,66.0,48,7.9,2510,8.0
"01001","2","44-45","74","0","2021","A","N",2,0,0,0,0,0,0,"N",52.03,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","44-45","74","0","2021","A","",148,1683,50933637,15592596,224781,582,30259,"",1.59,1.42,1.66,1.63,1.84,1.17,1.17,"",5,3.5,109,6.9,5659522,12.5,1448761,10.2,101747,82.7,29,5.2,1498,5.2
"01003","2","44-45","74","0","2021","A","",10,41,1324937,0,0,618,32120,"",34.97,9.63,14.27,0.00,0.00,1.47,1.47,"",0,0.0,-1,-2.4,-35151,-2.6,0,0.0,0,0.0,-12,-1.9,-653,-2.0
"01003","5","44-45","74","0","2021","A","",1059,14028,496940617,148011330,2083636,681,35425,"",1.53,1.72,2.35,1.86,2.32,1.37,1.37,"",23,2.2,658,4.9,71397617,16.8,13133610,9.7,854902,69.6,69,11.3,3596,11.3
"01005","2","44-45","74","0","2021","A","N",2,0,0,0,0,0,0,"N",85.74,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","44-45","74","0","2021","A","",87,858,23804042,7743840,103251,533,27730,"",1.54,1.04,1.22,1.06,1.19,1.17,1.17,"",1,1.2,3,0.4,1292507,5.7,240229,3.2,34498,50.2,27,5.3,1406,5.3
"01007","2","44-45","74","0","2021","A","N",1,0,0,0,0,0,0,"N",65.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","44-45","74","0","2021","A","",57,574,16793284,5236233,75078,563,29282,"",1.54,1.13,1.23,1.22,1.53,1.09,1.09,"",3,5.6,56,10.8,1900696,12.8,498005,10.5,32868,77.9,10,1.8,532,1.9
