"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","48-49","54","0","2021","A","",585,9007,555366052,0,0,1186,61661,"",1.55,1.06,1.21,0.00,0.00,1.14,1.14,"",-2,-0.3,159,1.8,27046832,5.1,0,0.0,0,0.0,38,3.3,1952,3.3
"01000","2","48-49","54","0","2021","A","N",2,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","48-49","54","0","2021","A","",121,4897,138746081,1015671,13011,545,28333,"",3.26,1.27,0.65,0.26,0.40,0.52,0.52,"",0,0.0,-211,-4.1,4065035,3.0,-47577,-4.5,5269,68.1,38,7.5,1966,7.5
"01000","5","48-49","54","0","2021","A","",4281,74659,3710153416,858443641,12693004,956,49695,"",1.16,0.92,0.98,0.98,0.92,1.07,1.07,"",325,8.2,12717,20.5,533596911,16.8,161177676,23.1,5479514,76.0,-30,-3.0,-1588,-3.1
"01001","1","48-49","74","0","2021","A","",4,68,4176604,0,0,1186,61647,"",1.54,1.42,1.98,0.00,0.00,1.40,1.40,"",-1,-20.0,-4,-5.6,-26210,-0.6,0,0.0,0,0.0,67,6.0,3477,6.0
"01001","3","48-49","74","0","2021","A","N",1,0,0,0,0,0,0,"N",3.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","48-49","74","0","2021","A","",14,120,5581742,1389458,19713,894,46482,"",0.55,0.26,0.32,0.31,0.27,1.23,1.23,"",-1,-6.7,-4,-3.2,-89829,-1.6,39299,2.9,4013,25.6,16,1.8,805,1.8
"01003","1","48-49","74","0","2021","A","",20,255,14737774,0,0,1111,57776,"",1.03,0.77,1.02,0.00,0.00,1.31,1.31,"",0,0.0,1,0.4,805043,5.8,0,0.0,0,0.0,58,5.5,3013,5.5
"01003","3","48-49","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","48-49","74","0","2021","A","",189,1998,105183646,22036129,343634,1012,52636,"",0.99,0.63,0.88,0.60,0.64,1.39,1.39,"",13,7.4,217,12.2,16107578,18.1,3130424,16.6,168590,96.3,50,5.2,2628,5.3
"01005","1","48-49","74","0","2021","A","",4,36,1918576,0,0,1027,53417,"",2.54,1.08,1.44,0.00,0.00,1.33,1.33,"",0,0.0,1,2.9,-26545,-1.4,0,0.0,0,0.0,-34,-3.2,-1764,-3.2
"01005","5","48-49","74","0","2021","A","",35,294,17678140,3044494,42370,1157,60164,"",2.25,0.92,1.60,0.90,0.81,1.74,1.74,"",-1,-2.8,-43,-12.8,-1041388,-5.6,-669249,-18.0,8881,26.5,89,8.3,4616,8.3
"01007","1","48-49","74","0","2021","A","",7,34,1831468,0,0,1026,53344,"",6.74,1.66,1.95,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,38757,2.2,0,0.0,0,0.0,5,0.5,227,0.4
"01007","3","48-49","74","0","2021","A","N",2,0,0,0,0,0,0,"N",19.54,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","48-49","74","0","2021","A","",14,393,16673743,4968776,61303,816,42427,"",1.37,1.99,2.15,2.52,2.09,1.08,1.08,"",1,7.7,15,4.0,1799202,12.1,162839,3.4,-49384,-44.6,58,7.7,3033,7.7
"01009","1","48-49","74","0","2021","A","",7,63,3421134,0,0,1042,54160,"",3.04,1.72,2.33,0.00,0.00,1.35,1.35,"",0,0.0,-3,-4.5,101704,3.1,0,0.0,0,0.0,81,8.4,4181,8.4
"01009","3","48-49","74","0","2021","A","N",1,0,0,0,0,0,0,"N",4.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","48-49","74","0","2021","A","N",39,0,0,0,0,0,0,"N",1.72,0,0,0,0,0,0,"N",6,18.2,0,0,0,0,0,0,0,0,0,0,0,0
