"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"02000","5","99","54","0","2021","A","",156,113,7548663,5112293,125561,1283,66704,"",0.31,0.27,0.27,0.26,0.21,0.98,0.98,"",88,129.4,36,46.8,4472429,145.4,2473220,93.7,84531,206.0,515,67.1,26753,67.0
"02016","5","99","74","0","2021","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","99","74","0","2021","A","",36,27,1698368,1064829,26473,1213,63097,"",0.20,0.14,0.13,0.12,0.10,0.88,0.88,"",13,56.5,-4,-12.9,550097,47.9,126186,13.4,11866,81.2,508,72.1,26450,72.2
"02050","5","99","74","0","2021","A","",0,0,12519,12519,315,1445,75114,"",0.00,0.00,0.03,0.04,0.03,1.41,1.40,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02060","5","99","74","0","2021","A","",1,0,7000,7000,180,538,28000,"",0.35,0.00,0.06,0.05,0.04,0.41,0.41,"",0,0.0,-7,-100.0,-297884,-97.7,-297884,-97.7,-4668,-96.3,-280,-34.2,-14542,-34.2
"02063","5","99","74","0","2021","A","",1,0,11417,11417,290,1317,68502,"",0.11,0.00,0.03,0.04,0.03,0.93,0.93,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02090","5","99","74","0","2021","A","",6,2,186982,168612,4215,1488,77372,"",0.12,0.04,0.06,0.09,0.07,1.21,1.21,"",1,20.0,-3,-60.0,-75657,-28.8,-33637,-16.6,1092,35.0,443,42.4,23033,42.4
"02110","5","99","74","0","2021","A","",2,3,446685,96000,2394,2643,137442,"",0.08,0.14,0.32,0.12,0.10,2.11,2.11,"",1,100.0,3,100.0,432210,2985.9,81525,563.2,2163,936.4,1808,216.5,94017,216.5
"02122","5","99","74","0","2021","A","",8,10,202252,174052,4376,409,21290,"",0.17,0.38,0.12,0.15,0.12,0.35,0.35,"",6,300.0,8,400.0,178076,736.6,149876,619.9,4013,1105.5,143,53.8,7475,54.1
"02130","5","99","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.08,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02150","5","99","74","0","2021","A","",0,0,27775,27775,714,6410,333300,"",0.00,0.00,0.07,0.08,0.07,5.91,5.91,"",0,0.0,0,0.0,24565,765.3,24565,765.3,663,1300.0,5669,765.0,294780,765.3
"02170","5","99","74","0","2021","A","",11,10,373063,364245,6936,700,36396,"",0.20,0.28,0.20,0.21,0.14,0.67,0.67,"",1,10.0,-6,-37.5,-140603,-27.4,-109283,-23.1,-346,-4.8,98,16.3,5107,16.3
"02180","5","99","74","0","2021","A","",0,0,746,746,18,172,8952,"",0.00,0.00,0.00,0.00,0.00,0.13,0.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02185","5","99","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02195","5","99","74","0","2021","A","",1,1,45497,45497,1169,1050,54596,"",0.29,0.54,0.43,0.51,0.36,0.96,0.96,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02240","5","99","74","0","2021","A","",0,0,5950,5950,153,687,35700,"",0.00,0.00,0.02,0.03,0.03,0.42,0.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02290","5","99","74","0","2021","A","N",1,0,0,0,0,0,0,"N",0.18,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"02999","5","99","74","0","2021","A","N",86,0,0,0,0,0,0,"N",2.88,0,0,0,0,0,0,"N",62,258.3,0,0,0,0,0,0,0,0,0,0,0,0
"04000","3","99","54","0","2021","A","",11,4,316849,25200,504,1492,77596,"",4.97,0.70,0.93,1.73,1.20,1.31,1.31,"",6,120.0,3,300.0,316339,62027.3,24690,4841.2,494,4940.0,1479,11376.9,76916,11311.2
