"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","22","54","0","2021","A","",21,1497,214202131,0,0,2753,143135,"",10.06,9.48,12.16,0.00,0.00,1.28,1.28,"",3,16.7,10,0.7,-4432869,-2.0,0,0.0,0,0.0,-75,-2.7,-3912,-2.7
"01000","3","22","54","0","2021","A","",321,7257,440506284,10349341,138269,1167,60702,"",2.98,2.17,2.04,1.46,2.59,0.94,0.94,"",0,0.0,-29,-0.4,3277274,0.7,205191,2.0,48092,53.3,13,1.1,696,1.2
"01000","5","22","54","0","2021","A","",425,12915,1567613487,117475695,1538356,2334,121382,"",1.61,1.74,2.19,1.55,1.80,1.26,1.26,"",13,3.2,-120,-0.9,-7361640,-0.5,1290172,1.1,705572,84.7,10,0.4,552,0.5
"01001","3","22","74","0","2021","A","N",3,0,0,0,0,0,0,"N",4.04,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","22","74","0","2021","A","",6,84,11701904,735440,8884,2674,139033,"",3.30,2.00,3.57,1.92,1.97,1.78,1.78,"",0,0.0,-15,-15.2,-2520645,-17.7,-140210,-16.0,1194,15.5,-98,-3.5,-5114,-3.5
"01003","3","22","74","0","2021","A","N",13,0,0,0,0,0,0,"N",2.35,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","22","74","0","2021","A","",11,313,24149381,2737121,33125,1483,77114,"",0.81,1.08,1.07,0.87,1.00,0.99,0.99,"",2,22.2,4,1.3,-1973441,-7.6,11439,0.4,14122,74.3,-143,-8.8,-7426,-8.8
"01005","3","22","74","0","2021","A","",6,56,1799937,140934,1621,620,32238,"",13.32,4.26,2.87,5.19,8.04,0.68,0.68,"",0,0.0,-1,-1.8,9796,0.5,-28357,-16.8,622,62.3,17,2.8,878,2.8
"01005","5","22","74","0","2021","A","N",4,0,0,0,0,0,0,"N",3.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","22","74","0","2021","A","N",3,0,0,0,0,0,0,"N",10.12,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
