"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","42","54","0","2021","A","N",2,0,0,0,0,0,0,"N",3.91,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","42","54","0","2021","A","",9908,73648,5748128589,740349927,11608947,1501,78049,"",1.25,0.95,1.02,0.86,0.89,1.07,1.07,"",209,2.2,966,1.3,509170233,9.7,26546176,3.7,3814881,48.9,115,8.3,5969,8.3
"01001","5","42","74","0","2021","A","",36,409,26189777,4459408,55182,1233,64112,"",0.66,0.93,1.01,1.03,0.80,1.09,1.09,"",5,16.1,40,10.8,1238597,5.0,648986,17.0,28379,105.9,-67,-5.2,-3491,-5.2
"01003","5","42","74","0","2021","A","",313,1961,139277221,19622410,305980,1366,71021,"",0.77,0.65,0.78,0.55,0.60,1.21,1.21,"",15,5.0,46,2.4,10270884,8.0,66291,0.3,109798,56.0,71,5.5,3664,5.4
"01005","5","42","74","0","2021","A","N",16,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,"N",2,14.3,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","42","74","0","2021","A","N",22,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,"N",1,4.8,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","42","74","0","2021","A","",37,348,20004215,3717913,50018,1107,57566,"",0.77,1.03,1.11,1.15,1.11,1.07,1.07,"",1,2.8,1,0.3,1078747,5.7,269664,7.8,24971,99.7,59,5.6,3091,5.7
"01011","5","42","74","0","2021","A","N",4,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","42","74","0","2021","A","",18,132,5437103,1495658,18953,794,41294,"",0.63,0.52,0.40,0.52,0.38,0.77,0.77,"",-2,-10.0,-11,-7.7,-953558,-14.9,-91725,-5.8,4440,30.6,-67,-7.8,-3500,-7.8
"01015","5","42","74","0","2021","A","",121,1523,95797856,15406775,214952,1210,62918,"",0.82,0.88,0.92,0.94,0.92,1.04,1.04,"",4,3.4,-36,-2.3,6434434,7.2,646645,4.4,65483,43.8,107,9.7,5588,9.7
