"area_fips","area_title"
"US000","U.S. TOTAL"
"USCMS","U.S. Combined Statistical Areas (combined)"
"USMSA","U.S. Metropolitan Statistical Areas (combined)"
"USNMS","U.S. Nonmetropolitan Area Counties (combined)"
"C1002","Abbeville, LA MicroSA"
"C1010","Aberdeen, SD MicroSA"
"C1014","Aberdeen, WA MicroSA"
"C1018","Abilene, TX MSA"
"C1022","Ada, OK MicroSA"
"C1026","Adjuntas, PR MicroSA"
"C1030","Adrian, MI MicroSA"
"C1038","Aguadilla-Isabela, PR MSA"
"C1042","Akron, OH MSA"
"C1046","Alamogordo, NM MicroSA"
"C1050","Albany, GA MSA"
"C1054","Albany, OR MSA"
"C1058","Albany-Schenectady-Troy, NY MSA"
"C1062","Albemarle, NC MicroSA"
"C1066","Albert Lea, MN MicroSA"
"C1070","Albertville, AL MicroSA"
"C1074","Albuquerque, NM MSA"
"C1076","Alexander City, AL MicroSA"
"C1078","Alexandria, LA MSA"
"C1082","Alexandria, MN MicroSA"
"C1086","Alice, TX MicroSA"
"C1088","Allegan, MI MicroSA"
"C1090","Allentown-Bethlehem-Easton, PA-NJ MSA"
"C1094","Alma, MI MicroSA"
"C1098","Alpena, MI MicroSA"
"C1102","Altoona, PA MSA"
"C1106","Altus, OK MicroSA"
"C1110","Amarillo, TX MSA"
"C1114","Americus, GA MicroSA"
"C1118","Ames, IA MSA"
"C1122","Amsterdam, NY MicroSA"
"C1126","Anchorage, AK MSA"
"C1130","Anderson, IN MSA"
"C1134","Anderson, SC MSA"
"C1138","Andrews, TX MicroSA"
"C1142","Angola, IN MicroSA"
"C1146","Ann Arbor, MI MSA"
"C1150","Anniston-Oxford-Jacksonville, AL MSA"
"C1154","Appleton, WI MSA"
"C1158","Arcadia, FL MicroSA"
"C1162","Ardmore, OK MicroSA"
"C1164","Arecibo, PR MSA"
"C1166","Arkadelphia, AR MicroSA"
"C1168","Arkansas City-Winfield, KS MicroSA"
"C1170","Asheville, NC MSA"
"C1174","Ashland, OH MicroSA"
"C1178","Ashtabula, OH MicroSA"
"C1182","Astoria, OR MicroSA"
"C1186","Atchison, KS MicroSA"
"C1190","Athens, OH MicroSA"
"C1194","Athens, TN MicroSA"
"C1198","Athens, TX MicroSA"
"C1202","Athens-Clarke County, GA MSA"
"C1206","Atlanta-Sandy Springs-Roswell, GA MSA"
"C1210","Atlantic City-Hammonton, NJ MSA"
"C1214","Auburn, IN MicroSA"
"C1218","Auburn, NY MicroSA"
"C1222","Auburn-Opelika, AL MSA"
"C1226","Augusta-Richmond County, GA-SC MSA"
"C1230","Augusta-Waterville, ME MicroSA"
