area_fips,own_code,industry_code,agglvl_code,size_code,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg,Geographic Area Name (NAME),2017 NAICS Code (NAICS),Meaning of NAICS Code (NAICS_LABEL),Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL),Year (YEAR),Number of firms (FIRM),Number of establishments (ESTAB),Number of employees (EMP),(DHS) denominator (DENOM),Number of establishments born during the last 12 months (ESTABS_ENTRY),Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE),Number of establishments exited during the last 12 months (ESTABS_EXIT),Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE),Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION),Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS),Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS),Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS),Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE),Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION),Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS),Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS),Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS),Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE),Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION),Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE),Rate of reallocation during the last 12 months (REALLOCATION_RATE),Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS),Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS),Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP),area_title
C1018,5.0,31-33,44.0,0.0,,148.0,3296.0,160143218.0,37971677.0,868265.0,935.0,48595.0,,0.99,0.55,0.5,0.61,0.89,0.91,0.91,,3.0,2.1,141.0,4.5,8954336.0,5.9,2812875.0,8.0,156548.0,22.0,14.0,1.5,678.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1038,5.0,31-33,44.0,0.0,,223.0,6240.0,210944247.0,49012985.0,1786420.0,650.0,33803.0,,1.66,1.36,1.53,1.51,1.81,1.12,1.12,N,6.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1042,5.0,31-33,44.0,0.0,,1154.0,37005.0,2296423202.0,407461064.0,9997653.0,1193.0,62057.0,,1.85,1.41,1.38,1.38,1.39,0.98,0.98,,9.0,0.8,306.0,0.8,118826310.0,5.5,15133172.0,3.9,1473012.0,17.3,52.0,4.6,2721.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1050,5.0,31-33,44.0,0.0,,108.0,4125.0,273228628.0,54890647.0,705175.0,1274.0,66245.0,,0.89,0.83,1.03,0.98,1.2,1.24,1.24,,4.0,3.8,154.0,3.9,13403007.0,5.2,2671512.0,5.1,-53061.0,-7.0,16.0,1.3,817.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1054,5.0,31-33,44.0,0.0,,200.0,7585.0,490547185.0,323209808.0,7537579.0,1244.0,64677.0,,1.51,1.88,2.19,2.3,2.46,1.17,1.17,,-1.0,-0.5,-351.0,-4.4,-6017991.0,-1.2,-315054.0,-0.1,1204755.0,19.0,41.0,3.4,2103.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1058,5.0,31-33,44.0,0.0,,609.0,25648.0,2555117015.0,329645247.0,11992914.0,1916.0,99623.0,,0.76,0.71,0.93,0.79,0.8,1.3,1.3,,-9.0,-1.5,282.0,1.1,7906399.0,0.3,15268996.0,4.9,4529730.0,60.7,-15.0,-0.8,-797.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1074,5.0,31-33,44.0,0.0,,842.0,16268.0,1026752795.0,455873296.0,3000633.0,1214.0,63116.0,,0.98,0.51,0.53,0.56,0.53,1.03,1.03,,-10.0,-1.2,446.0,2.8,35475171.0,3.6,33501211.0,7.9,-473763.0,-13.6,9.0,0.7,462.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1078,5.0,31-33,44.0,0.0,,111.0,4346.0,273946924.0,40115737.0,507605.0,1212.0,63042.0,,0.8,0.86,1.03,0.87,0.98,1.2,1.2,,-2.0,-1.8,50.0,1.2,17348364.0,6.8,129848.0,0.3,-75909.0,-13.0,63.0,5.5,3316.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1090,5.0,31-33,44.0,0.0,,922.0,39277.0,2944726195.0,556270172.0,18624309.0,1442.0,74973.0,,1.39,1.31,1.46,1.35,1.49,1.12,1.12,,-10.0,-1.1,1601.0,4.2,200657131.0,7.3,32859724.0,6.3,-701200.0,-3.6,41.0,2.9,2140.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1102,5.0,31-33,44.0,0.0,,142.0,6642.0,362444517.0,79948570.0,3005264.0,1049.0,54569.0,,1.22,1.38,1.4,1.4,1.67,1.02,1.02,,-5.0,-3.4,-70.0,-1.0,4580742.0,1.3,2493937.0,3.2,-123259.0,-3.9,24.0,2.3,1253.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
