"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","72","54","0","2021","A","",11,268,6347707,0,0,455,23678,"",2.13,2.53,2.62,0.00,0.00,1.04,1.04,"",0,0.0,-76,-22.1,-1151973,-15.4,0,0.0,0,0.0,36,8.6,1903,8.7
"01000","2","72","54","0","2021","A","N",1,0,0,0,0,0,0,"N",6.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","72","54","0","2021","A","",144,977,25739360,19750,226,507,26354,"",15.93,0.81,0.59,0.00,0.00,0.73,0.73,"",0,0.0,-82,-7.7,269949,1.1,-205,-1.0,108,91.5,44,9.5,2294,9.5
"01000","5","72","54","0","2021","A","",10240,169535,3467184679,1642430786,23811649,393,20451,"",1.08,1.02,1.01,1.13,1.19,0.99,0.99,"",374,3.8,8936,5.6,532024162,18.1,133704164,8.9,9443504,65.7,42,12.0,2175,11.9
"01001","3","72","74","0","2021","A","N",1,0,0,0,0,0,0,"N",16.03,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","72","74","0","2021","A","",78,1212,21871764,11060928,147829,347,18041,"",1.19,1.29,1.39,1.52,1.39,1.08,1.08,"",2,2.6,40,3.4,3318507,17.9,981388,9.7,62564,73.4,43,14.1,2211,14.0
"01003","5","72","74","0","2021","A","",688,13272,350429069,140345561,2053536,508,26404,"",1.41,2.05,3.24,2.32,2.63,1.58,1.58,"",34,5.2,951,7.7,68980953,24.5,12036958,9.4,722372,54.3,69,15.7,3562,15.6
"01005","5","72","74","0","2021","A","",53,637,10258825,5912453,86969,310,16096,"",1.34,0.98,1.03,1.06,1.15,1.06,1.05,"",0,0.0,-35,-5.2,444132,4.5,120210,2.1,29718,51.9,29,10.3,1494,10.2
"01007","5","72","74","0","2021","A","",15,169,2593144,1430612,17818,295,15336,"",0.57,0.42,0.37,0.44,0.42,0.88,0.88,"",1,7.1,16,10.5,362340,16.2,213483,17.5,8983,101.7,14,5.0,740,5.1
"01009","5","72","74","0","2021","A","",57,754,12004749,6253200,81074,306,15928,"",0.98,1.05,1.10,1.15,1.18,1.04,1.04,"",4,7.5,57,8.2,1867479,18.4,360740,6.1,36001,79.9,26,9.3,1386,9.5
"01011","5","72","74","0","2021","A","N",11,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,"N",1,10.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","3","72","74","0","2021","A","N",1,0,0,0,0,0,0,"N",30.48,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","72","74","0","2021","A","",39,638,10498953,5634522,79282,316,16454,"",1.13,1.18,1.28,1.17,1.03,1.08,1.09,"",0,0.0,30,4.9,1247822,13.5,343955,6.5,38391,93.9,23,7.8,1230,8.1
"01015","1","72","74","0","2021","A","",2,16,406957,0,0,477,24789,"",20.62,6.82,9.15,0.00,0.00,1.31,1.31,"",0,0.0,-4,-20.0,-28245,-6.5,0,0.0,0,0.0,55,13.0,2846,13.0
"01015","3","72","74","0","2021","A","N",2,0,0,0,0,0,0,"N",11.80,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","72","74","0","2021","A","",237,4507,80973570,41757614,591203,346,17968,"",1.33,1.22,1.29,1.51,1.65,1.05,1.05,"",-2,-0.8,334,8.0,11747316,17.0,3472707,9.1,243592,70.1,27,8.5,1377,8.3
"01017","3","72","74","0","2021","A","",12,44,1036950,0,0,457,23747,"",277.17,8.52,7.25,0.00,0.00,0.86,0.86,"",0,0.0,1,2.3,-9489,-0.9,0,0.0,0,0.0,-17,-3.6,-875,-3.6
"01017","5","72","74","0","2021","A","N",66,0,0,0,0,0,0,"N",1.45,0,0,0,0,0,0,"N",6,10.0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","72","74","0","2021","A","",39,484,7479106,4439653,60704,297,15442,"",1.32,1.10,1.16,1.21,1.13,1.05,1.05,"",2,5.4,52,12.0,1315563,21.3,638878,16.8,27545,83.1,23,8.4,1177,8.3
"01021","5","72","74","0","2021","A","N",61,0,0,0,0,0,0,"N",1.08,0,0,0,0,0,0,"N",1,1.7,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","72","74","0","2021","A","",19,139,2016558,1162558,25892,279,14525,"",0.81,0.46,0.32,0.41,0.58,0.69,0.69,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","3","72","74","0","2021","A","N",2,0,0,0,0,0,0,"N",43.96,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","72","74","0","2021","A","",56,622,9503506,5099279,70998,294,15275,"",1.17,0.91,0.80,0.91,0.97,0.88,0.87,"",3,5.7,5,0.8,252171,2.7,-426961,-7.7,22542,46.5,6,2.1,283,1.9
"01027","5","72","74","0","2021","A","N",13,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,"N",4,44.4,0,0,0,0,0,0,0,0,0,0,0,0
"01029","3","72","74","0","2021","A","",4,26,567919,0,0,413,21499,"",243.34,18.94,12.19,0.00,0.00,0.63,0.63,"",0,0.0,-1,-3.7,-6666,-1.2,0,0.0,0,0.0,5,1.2,284,1.3
"01029","5","72","74","0","2021","A","",13,120,2216639,1163235,13663,355,18472,"",0.75,0.64,0.60,0.74,0.49,0.95,0.95,"",1,8.3,-1,-0.8,209050,10.4,47343,4.2,6124,81.2,35,10.9,1846,11.1
"01031","3","72","74","0","2021","A","N",1,0,0,0,0,0,0,"N",13.50,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","72","74","0","2021","A","",104,1707,30012633,16776197,251055,338,17580,"",1.34,1.23,1.41,1.32,1.51,1.15,1.15,"",7,7.2,111,7.0,4904645,19.5,2430325,16.9,112130,80.7,36,11.9,1851,11.8
"01033","3","72","74","0","2021","A","N",1,0,0,0,0,0,0,"N",10.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","72","74","0","2021","A","",110,1597,27798403,14627903,203638,335,17403,"",1.14,0.81,0.72,0.84,0.75,0.90,0.90,"",1,0.9,19,1.2,3206479,13.0,787047,5.7,82299,67.8,35,11.7,1817,11.7
"01035","5","72","74","0","2021","A","N",21,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,"N",3,16.7,0,0,0,0,0,0,0,0,0,0,0,0
"01037","3","72","74","0","2021","A","N",1,0,0,0,0,0,0,"N",104.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","72","74","0","2021","A","N",4,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","3","72","74","0","2021","A","N",1,0,0,0,0,0,0,"N",15.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","72","74","0","2021","A","",72,1011,17171107,9576610,136442,327,16984,"",1.09,1.01,1.09,1.14,1.05,1.08,1.08,"",5,7.5,110,12.2,3081680,21.9,1669822,21.1,61229,81.4,26,8.6,1341,8.6
"01041","5","72","74","0","2021","A","N",16,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,"N",1,6.7,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","72","74","0","2021","A","",146,2553,48013771,24509622,327917,362,18808,"",1.10,1.04,1.14,1.12,1.15,1.10,1.10,"",0,0.0,-18,-0.7,6050742,14.4,1209454,5.2,143912,78.2,48,15.3,2489,15.3
"01045","1","72","74","0","2021","A","",2,38,927972,0,0,471,24474,"",57.64,40.68,40.59,0.00,0.00,1.00,1.00,"",0,0.0,-13,-25.5,-108312,-10.5,0,0.0,0,0.0,76,19.2,3954,19.3
"01045","3","72","74","0","2021","A","N",1,0,0,0,0,0,0,"N",16.49,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","72","74","0","2021","A","",85,1163,20366416,10109139,163252,337,17518,"",1.34,0.79,0.63,0.97,1.24,0.79,0.79,"",5,6.2,78,7.2,2908595,16.7,1140924,12.7,66958,69.5,28,9.1,1433,8.9
"01047","3","72","74","0","2021","A","",9,33,653036,0,0,380,19739,"",158.57,4.75,3.32,0.00,0.00,0.70,0.70,"",0,0.0,-3,-8.3,-36087,-5.2,0,0.0,0,0.0,10,2.7,508,2.6
"01047","5","72","74","0","2021","A","",55,745,11616580,6546774,108936,300,15596,"",0.92,0.78,0.75,0.84,0.82,0.96,0.96,"",3,5.8,1,0.1,876135,8.2,148328,2.3,33796,45.0,22,7.9,1163,8.1
"01049","5","72","74","0","2021","A","",115,1765,33609726,17046914,223377,366,19044,"",1.30,0.94,1.09,0.99,1.01,1.15,1.15,"",5,4.5,130,8.0,5214228,18.4,2086291,13.9,105961,90.2,32,9.6,1679,9.7
