area_fips,City,State
US000,U.S. TOTAL,
USCMS,U.S. Combined Statistical Areas (combined),
USMSA,U.S. Metropolitan Statistical Areas (combined),
USNMS,U.S. Nonmetropolitan Area Counties (combined),
C1002,Abbeville,LA
C1010,Aberdeen,SD
C1014,Aberdeen,WA
C1018,Abilene,TX
C1022,Ada,OK
C1026,Adjuntas,PR
C1030,Adrian,MI
C1038,Aguadilla-Isabela,PR
C1042,Akron,OH
C1046,Alamogordo,NM
C1050,Albany,GA
C1054,Albany,OR
C1058,Albany-Schenectady-Troy,NY
C1062,Albemarle,NC
C1066,Albert Lea,MN
C1070,Albertville,AL
C1074,Albuquerque,NM
C1076,Alexander City,AL
C1078,Alexandria,LA
C1082,Alexandria,MN
C1086,Alice,TX
C1088,Allegan,MI
C1090,Allentown-Bethlehem-Easton,PA-NJ
C1094,Alma,MI
C1098,Alpena,MI
C1102,Altoona,PA
C1106,Altus,OK
C1110,Amarillo,TX
C1114,Americus,GA
C1118,Ames,IA
C1122,Amsterdam,NY
C1126,Anchorage,AK
C1130,Anderson,IN
C1134,Anderson,SC
C1138,Andrews,TX
C1142,Angola,IN
C1146,Ann Arbor,MI
C1150,Anniston-Oxford-Jacksonville,AL
C1154,Appleton,WI
C1158,Arcadia,FL
C1162,Ardmore,OK
C1164,Arecibo,PR
C1166,Arkadelphia,AR
C1168,Arkansas City-Winfield,KS
C1170,Asheville,NC
C1174,Ashland,OH
C1178,Ashtabula,OH
C1182,Astoria,OR
C1186,Atchison,KS
C1190,Athens,OH
C1194,Athens,TN
C1198,Athens,TX
C1202,Athens-Clarke County,GA
C1206,Atlanta-Sandy Springs-Roswell,GA
C1210,Atlantic City-Hammonton,NJ
C1214,Auburn,IN
C1218,Auburn,NY
C1222,Auburn-Opelika,AL
C1226,Augusta-Richmond County,GA-SC
C1230,Augusta-Waterville,ME
C1238,Austin,MN
C1242,Austin-Round Rock,TX
C1246,Bainbridge,GA
C1254,Bakersfield,CA
C1258,Baltimore-Columbia-Towson,MD
C1262,Bangor,ME
C1266,Baraboo,WI
C1268,Bardstown,KY
C1270,Barnstable Town,MA
C1274,Barre,VT
C1278,Bartlesville,OK
C1282,Bastrop,LA
C1286,Batavia,NY
C1290,Batesville,AR
C1294,Baton Rouge,LA
C1298,Battle Creek,MI
C1302,Bay City,MI
C1306,Bay City,TX
C1310,Beatrice,NE
C1314,Beaumont-Port Arthur,TX
C1318,Beaver Dam,WI
C1322,Beckley,WV
C1326,Bedford,IN
C1330,Beeville,TX
C1334,Bellefontaine,OH
C1338,Bellingham,WA
C1342,Bemidji,MN
