area_fips,industry_code,agglvl_code,size_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay
C1018,31-33,44,0,148.0,3296.0,160143218.0,37971677.0,868265.0,935.0,48595.0
C1038,31-33,44,0,223.0,6240.0,210944247.0,49012985.0,1786420.0,650.0,33803.0
C1042,31-33,44,0,1154.0,37005.0,2296423202.0,407461064.0,9997653.0,1193.0,62057.0
C1050,31-33,44,0,108.0,4125.0,273228628.0,54890647.0,705175.0,1274.0,66245.0
C1054,31-33,44,0,200.0,7585.0,490547185.0,323209808.0,7537579.0,1244.0,64677.0
C1058,31-33,44,0,609.0,25648.0,2555117015.0,329645247.0,11992914.0,1916.0,99623.0
C1074,31-33,44,0,842.0,16268.0,1026752795.0,455873296.0,3000633.0,1214.0,63116.0
C1078,31-33,44,0,111.0,4346.0,273946924.0,40115737.0,507605.0,1212.0,63042.0
C1090,31-33,44,0,922.0,39277.0,2944726195.0,556270172.0,18624309.0,1442.0,74973.0
C1102,31-33,44,0,142.0,6642.0,362444517.0,79948570.0,3005264.0,1049.0,54569.0
C1110,31-33,44,0,222.0,13912.0,968748736.0,147970078.0,1311607.0,1339.0,69635.0
C1118,31-33,44,0,92.0,4880.0,341623081.0,165065071.0,1441413.0,1346.0,69999.0
C1126,31-33,44,0,258.0,2287.0,115616958.0,85970440.0,1746389.0,972.0,50560.0
C1146,31-33,44,0,454.0,12925.0,924783126.0,151508828.0,4785200.0,1376.0,71552.0
C1150,31-33,44,0,138.0,6543.0,383917490.0,63972552.0,1058590.0,1128.0,58675.0
C1154,31-33,44,0,406.0,23954.0,1561916280.0,389526519.0,4001567.0,1254.0,65205.0
C1164,31-33,44,0,103.0,4178.0,125335956.0,27978062.0,917080.0,577.0,30003.0
C1170,31-33,44,0,570.0,21769.0,1252645750.0,588828404.0,2960338.0,1107.0,57542.0
C1202,31-33,44,0,199.0,6150.0,367665457.0,73621830.0,958741.0,1150.0,59785.0
C1206,31-33,44,0,5530.0,164647.0,11456991128.0,1989568586.0,24120259.0,1338.0,69585.0
C1210,31-33,44,0,124.0,2755.0,156228055.0,94737298.0,2018285.0,1091.0,56714.0
C1222,31-33,44,0,151.0,6520.0,359671961.0,67896140.0,1182130.0,1061.0,55168.0
C1226,31-33,44,0,406.0,23091.0,1520338435.0,323488685.0,4080777.0,1266.0,65842.0
C1242,31-33,44,0,2092.0,64327.0,7851040350.0,737466444.0,15649919.0,2347.0,122050.0
C1254,31-33,44,0,459.0,12161.0,835360622.0,101226817.0,4523411.0,1321.0,68691.0
C1258,31-33,44,0,1792.0,60218.0,5342712666.0,646057436.0,26016518.0,1706.0,88723.0
C1262,31-33,44,0,153.0,2672.0,145423225.0,39641372.0,933221.0,1047.0,54435.0
C1270,31-33,44,0,171.0,2325.0,166934661.0,40578144.0,1365530.0,1381.0,71795.0
C1294,31-33,44,0,875.0,0.0,0.0,0.0,0.0,0.0,0.0
C1298,31-33,44,0,163.0,10159.0,672203872.0,120626143.0,3306635.0,1273.0,66172.0
C1302,31-33,44,0,128.0,4454.0,361512497.0,51440575.0,2132314.0,1561.0,81163.0
C1314,31-33,44,0,360.0,18857.0,2034491228.0,205441515.0,5181327.0,2075.0,107893.0
C1322,31-33,44,0,76.0,981.0,53664466.0,13915594.0,319125.0,1052.0,54681.0
C1338,31-33,44,0,345.0,8892.0,603312614.0,412821370.0,3645993.0,1305.0,67850.0
C1346,31-33,44,0,382.0,5700.0,313394591.0,220448132.0,5441049.0,1057.0,54979.0
C1374,31-33,44,0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
C1378,31-33,44,0,200.0,10522.0,920931798.0,144275602.0,4717175.0,1683.0,87521.0
C1382,31-33,44,0,1240.0,37240.0,2504464266.0,389264673.0,6173037.0,1293.0,67253.0
C1390,31-33,44,0,116.0,0.0,0.0,0.0,0.0,0.0,0.0
C1398,31-33,44,0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
C1401,31-33,44,0,130.0,3255.0,183536549.0,51140964.0,1108429.0,1084.0,56392.0
C1402,31-33,44,0,141.0,10922.0,711534978.0,132871788.0,1600007.0,1253.0,65149.0
C1410,31-33,44,0,93.0,4834.0,264840464.0,58359070.0,2890800.0,1054.0,54782.0
C1426,31-33,44,0,990.0,28498.0,2416587936.0,1168675549.0,6426803.0,1631.0,84799.0
C1446,31-33,44,0,4571.0,166118.0,18140265149.0,2881801816.0,88389029.0,2100.0,109201.0
C1450,31-33,44,0,653.0,21075.0,2035540375.0,350459031.0,6375778.0,1857.0,96587.0
C1454,31-33,44,0,179.0,13249.0,804266795.0,180880548.0,3264111.0,1167.0,60703.0
C1474,31-33,44,0,198.0,2579.0,161037446.0,123147864.0,1816724.0,1201.0,62436.0
C1486,31-33,44,0,891.0,29716.0,3158692099.0,506472348.0,15441957.0,2044.0,106297.0
C1518,31-33,44,0,221.0,6309.0,342856903.0,68668724.0,2119075.0,1045.0,54344.0
C1526,31-33,44,0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
C1538,31-33,44,0,1284.0,49862.0,3614261680.0,694617789.0,24998170.0,1394.0,72486.0
C1550,31-33,44,0,208.0,8774.0,503894959.0,239168953.0,1162965.0,1104.0,57432.0
C1554,31-33,44,0,328.0,0.0,0.0,0.0,0.0,0.0,0.0
C1568,31-33,44,0,36.0,398.0,23346389.0,4112849.0,124276.0,1129.0,58696.0
C1594,31-33,44,0,574.0,25013.0,1551041588.0,274587926.0,8259939.0,1192.0,62008.0
C1598,31-33,44,0,634.0,7036.0,415345816.0,68234072.0,525270.0,1135.0,59030.0
C1602,31-33,44,0,105.0,4050.0,240924591.0,50569169.0,336348.0,1144.0,59486.0
C1606,31-33,44,0,86.0,4122.0,205023957.0,62719355.0,1506636.0,956.0,49736.0
C1618,31-33,44,0,120.0,2473.0,154204381.0,83623273.0,1538318.0,1199.0,62349.0
C1622,31-33,44,0,121.0,1618.0,102573742.0,47740412.0,1004645.0,1219.0,63412.0
C1630,31-33,44,0,316.0,19224.0,1692692001.0,670519567.0,5602734.0,1693.0,88053.0
C1654,31-33,44,0,206.0,8563.0,527310138.0,104124650.0,4108408.0,1184.0,61581.0
C1658,31-33,44,0,193.0,7604.0,432742171.0,115547997.0,3059977.0,1094.0,56913.0
C1662,31-33,44,0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
C1670,31-33,44,0,828.0,27738.0,2098048680.0,463498906.0,3166122.0,1455.0,75637.0
C1674,31-33,44,0,2937.0,106629.0,7114345124.0,2802045378.0,25079033.0,1283.0,66720.0
C1682,31-33,44,0,255.0,4074.0,231014181.0,40036777.0,450053.0,1090.0,56700.0
C1686,31-33,44,0,740.0,35376.0,2133642076.0,341511284.0,4187268.0,1160.0,60314.0
C1694,31-33,44,0,82.0,1172.0,89063061.0,33581541.0,543935.0,1462.0,76009.0
C1698,31-33,44,0,11878.0,394818.0,33583689226.0,5895091025.0,124183183.0,1636.0,85061.0
C1702,31-33,44,0,191.0,4124.0,226413167.0,38151627.0,1747017.0,1056.0,54907.0
C1714,31-33,44,0,2742.0,114388.0,9192453494.0,1354713056.0,31611340.0,1545.0,80362.0
C1730,31-33,44,0,219.0,11410.0,659103267.0,130851113.0,2826696.0,1111.0,57768.0
C1742,31-33,44,0,154.0,8725.0,533437441.0,74447207.0,474837.0,1176.0,61142.0
C1746,31-33,44,0,3308.0,114787.0,7948066029.0,1240285218.0,33480684.0,1332.0,69242.0
C1766,31-33,44,0,326.0,4989.0,271116376.0,188570784.0,1222469.0,1045.0,54345.0
C1778,31-33,44,0,179.0,5681.0,298602428.0,65153180.0,1171761.0,1011.0,52566.0
C1782,31-33,44,0,540.0,0.0,0.0,0.0,0.0,0.0,0.0
C1786,31-33,44,0,104.0,4781.0,278283682.0,62061644.0,1017992.0,1119.0,58209.0
C1790,31-33,44,0,716.0,31002.0,1911677865.0,525980906.0,5240097.0,1186.0,61663.0
C1798,31-33,44,0,207.0,9753.0,594777936.0,111959374.0,1612703.0,1173.0,60986.0
C1802,31-33,44,0,145.0,18375.0,1529959998.0,208737564.0,1671849.0,1601.0,83263.0
C1814,31-33,44,0,1652.0,72151.0,5001125044.0,810761095.0,18034181.0,1333.0,69315.0
C1858,31-33,44,0,295.0,8014.0,749662372.0,84718616.0,1416689.0,1799.0,93541.0
C1870,31-33,44,0,111.0,2908.0,269344192.0,122207906.0,2338202.0,1781.0,92632.0
C1888,31-33,44,0,226.0,3323.0,250909294.0,29456796.0,274826.0,1452.0,75516.0
C1906,31-33,44,0,68.0,3874.0,231890308.0,48441845.0,1608140.0,1151.0,59853.0
C1910,31-33,44,0,7165.0,281604.0,24445940776.0,3157610459.0,68603181.0,1669.0,86810.0
C1914,31-33,44,0,368.0,22480.0,1085268130.0,248353858.0,5731025.0,928.0,48277.0
C1918,31-33,44,0,80.0,4417.0,286295716.0,70619232.0,2118122.0,1246.0,64813.0
C1930,31-33,44,0,225.0,3655.0,203218420.0,35748059.0,576942.0,1069.0,55601.0
C1934,31-33,44,0,403.0,23152.0,1541125246.0,583545804.0,13755369.0,1280.0,66565.0
C1938,31-33,44,0,1019.0,40516.0,2447233350.0,450893305.0,11167868.0,1162.0,60401.0
C1946,31-33,44,0,209.0,13164.0,984678328.0,135254431.0,1957157.0,1438.0,74798.0
C1950,31-33,44,0,94.0,10510.0,1002472528.0,138566852.0,2794634.0,1834.0,95381.0
C1966,31-33,44,0,573.0,11337.0,674680343.0,106095740.0,1100136.0,1144.0,59514.0
C1974,31-33,44,0,2686.0,0.0,0.0,0.0,0.0,0.0,0.0
C1978,31-33,44,0,626.0,21281.0,1341152122.0,711605144.0,11534498.0,1212.0,63022.0
C1982,31-33,44,0,6321.0,240452.0,18022116321.0,2685772112.0,111795909.0,1441.0,74951.0
C2002,31-33,44,0,168.0,5102.0,245101671.0,53136273.0,929447.0,924.0,48040.0
C2010,31-33,44,0,69.0,4927.0,300348785.0,96208191.0,1773530.0,1172.0,60965.0
C2022,31-33,44,0,175.0,9751.0,688142706.0,342747017.0,6086022.0,1357.0,70571.0
C2026,31-33,44,0,292.0,7999.0,518309268.0,239323463.0,2545585.0,1246.0,64799.0
C2050,31-33,44,0,427.0,34106.0,4108901117.0,1010035163.0,3983928.0,2317.0,120474.0
C2070,31-33,44,0,114.0,5146.0,460546250.0,59924432.0,1675680.0,1721.0,89493.0
C2074,31-33,44,0,229.0,10810.0,645541309.0,176745157.0,2015368.0,1148.0,59719.0
C2094,31-33,44,0,59.0,2161.0,115474646.0,19170955.0,916002.0,1028.0,53438.0
C2106,31-33,44,0,124.0,7584.0,495965979.0,107628938.0,1902716.0,1258.0,65393.0
C2114,31-33,44,0,800.0,72711.0,4718981731.0,943885300.0,18584027.0,1248.0,64901.0
C2130,31-33,44,0,88.0,4955.0,329916627.0,71614538.0,2995765.0,1280.0,66579.0
C2134,31-33,44,0,641.0,0.0,0.0,0.0,0.0,0.0,0.0
C2150,31-33,44,0,469.0,17930.0,1098888794.0,213084024.0,7592203.0,1179.0,61288.0
C2166,31-33,44,0,561.0,14368.0,866331882.0,572097586.0,13137836.0,1160.0,60295.0
C2178,31-33,44,0,389.0,22232.0,1496250747.0,282756699.0,3816731.0,1294.0,67302.0
C2182,31-33,44,0,69.0,524.0,25896675.0,19230721.0,393699.0,950.0,49382.0
C2202,31-33,44,0,302.0,10384.0,646181198.0,391072387.0,2073052.0,1197.0,62229.0
C2214,31-33,44,0,81.0,989.0,50236713.0,28088782.0,323736.0,977.0,50787.0
C2218,31-33,44,0,145.0,8229.0,505276674.0,231562287.0,913825.0,1181.0,61403.0
C2222,31-33,44,0,485.0,30878.0,1569600074.0,399781031.0,3418877.0,978.0,50833.0
C2238,31-33,44,0,109.0,3205.0,206708616.0,25234805.0,375144.0,1240.0,64501.0
C2242,31-33,44,0,311.0,13161.0,870925256.0,115715672.0,4106111.0,1273.0,66176.0
C2250,31-33,44,0,194.0,10544.0,730099692.0,185537720.0,1475445.0,1332.0,69244.0
C2252,31-33,44,0,215.0,7999.0,464018910.0,82454106.0,1501040.0,1116.0,58008.0
C2254,31-33,44,0,153.0,11123.0,716757262.0,183605466.0,2178990.0,1239.0,64440.0
C2266,31-33,44,0,528.0,14553.0,1454995120.0,235615175.0,4011725.0,1923.0,99978.0
C2290,31-33,44,0,295.0,17061.0,882774041.0,229806619.0,3115751.0,995.0,51743.0
C2306,31-33,44,0,632.0,36731.0,2335014060.0,436786331.0,8919808.0,1223.0,63571.0
C2342,31-33,44,0,663.0,26137.0,1425692351.0,236579657.0,11116785.0,1049.0,54548.0
C2346,31-33,44,0,104.0,4342.0,185513141.0,45298823.0,991028.0,822.0,42729.0
C2354,31-33,44,0,218.0,4411.0,280445127.0,39985158.0,308885.0,1223.0,63582.0
C2358,31-33,44,0,288.0,20447.0,1113590980.0,265499242.0,2524850.0,1047.0,54463.0
C2390,31-33,44,0,129.0,7493.0,423357507.0,91490945.0,3039891.0,1087.0,56501.0
C2402,31-33,44,0,167.0,5670.0,386955071.0,81892384.0,3286846.0,1312.0,68247.0
C2414,31-33,44,0,82.0,5293.0,279549797.0,143297847.0,1166061.0,1016.0,52819.0
