"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","54","54","0","2021","A","",39,1915,186183258,0,0,1870,97224,"",2.34,2.07,2.62,0.00,0.00,1.27,1.27,"",0,0.0,-10,-0.5,3905032,2.1,0,0.0,0,0.0,49,2.7,2518,2.7
"01000","3","54","54","0","2021","A","",24,301,25019282,1785435,28139,1601,83259,"",1.71,1.08,1.51,2.62,4.92,1.40,1.40,"",7,41.2,-11,-3.5,701576,2.9,-270629,-13.2,6017,27.2,101,6.7,5234,6.7
"01000","5","54","54","0","2021","A","",15994,113256,9987878910,1150548754,18833897,1696,88189,"",0.88,0.84,0.80,0.78,0.74,0.96,0.96,"",1351,9.2,4928,4.5,488801529,5.1,67103976,6.2,6150183,48.5,10,0.6,501,0.6
"01001","5","54","74","0","2021","A","N",75,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,"N",6,8.7,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","54","74","0","2021","A","",676,2516,160407296,25311097,414407,1226,63755,"",0.72,0.48,0.41,0.41,0.42,0.85,0.86,"",70,11.6,204,8.8,17093600,11.9,2005471,8.6,145407,54.1,34,2.9,1755,2.8
"01005","1","54","74","0","2021","A","",1,7,658398,0,0,1809,94057,"",14.30,1.92,3.19,0.00,0.00,1.66,1.66,"",0,0.0,0,0.0,18260,2.9,0,0.0,0,0.0,50,2.8,2609,2.9
"01005","5","54","74","0","2021","A","",35,88,3999051,860589,11169,872,45358,"",0.46,0.17,0.11,0.15,0.12,0.67,0.67,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","54","74","0","2021","A","",23,68,2905100,588194,9555,819,42566,"",0.46,0.21,0.11,0.18,0.18,0.55,0.55,"",0,0.0,-7,-9.3,-800760,-21.6,-171755,-22.6,-908,-8.7,-137,-14.3,-7122,-14.3
"01009","5","54","74","0","2021","A","",52,200,11563626,1822720,29375,1112,57842,"",0.47,0.34,0.29,0.33,0.33,0.85,0.85,"",2,4.0,-41,-17.0,-1350994,-10.5,-447037,-19.7,637,2.2,80,7.8,4162,7.8
"01011","5","54","74","0","2021","A","N",4,0,0,0,0,0,0,"N",0.16,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","54","74","0","2021","A","",24,137,6742637,1501969,33578,946,49186,"",0.36,0.31,0.23,0.30,0.34,0.73,0.73,"",0,0.0,-30,-18.0,-396892,-5.6,-159861,-9.6,6570,24.3,123,14.9,6413,15.0
"01015","1","54","74","0","2021","A","",4,31,2519714,0,0,1576,81942,"",12.78,1.51,1.93,0.00,0.00,1.29,1.29,"",0,0.0,2,6.9,161656,6.9,0,0.0,0,0.0,34,2.2,1781,2.2
"01015","3","54","74","0","2021","A","N",1,0,0,0,0,0,0,"N",3.81,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","54","74","0","2021","A","",198,1124,57900364,10116032,162835,990,51498,"",0.58,0.38,0.25,0.36,0.36,0.67,0.67,"",8,4.2,27,2.5,5933583,11.4,684263,7.3,59048,56.9,79,8.7,4137,8.7
"01017","3","54","74","0","2021","A","N",1,0,0,0,0,0,0,"N",14.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","54","74","0","2021","A","N",45,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,"N",8,21.6,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","54","74","0","2021","A","",27,73,3684557,676798,15078,965,50187,"",0.48,0.20,0.16,0.18,0.22,0.77,0.77,"",5,22.7,7,10.6,598730,19.4,14417,2.2,3202,27.0,66,7.3,3432,7.3
"01021","5","54","74","0","2021","A","N",43,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,"N",7,19.4,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","54","74","0","2021","A","",23,51,2295792,497555,11829,867,45089,"",0.51,0.21,0.10,0.17,0.21,0.48,0.48,"",1,4.5,5,10.9,758598,49.3,46745,10.4,6369,116.6,224,34.8,11672,34.9
"01025","1","54","74","0","2021","A","",1,6,499261,0,0,1600,83210,"",11.90,1.58,2.02,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,25718,5.4,0,0.0,0,0.0,82,5.4,4286,5.4
"01025","5","54","74","0","2021","A","N",32,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,"N",1,3.2,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","54","74","0","2021","A","",11,43,1546723,395441,7198,692,35970,"",0.36,0.15,0.08,0.13,0.14,0.53,0.53,"",2,22.2,3,7.5,319269,26.0,37873,10.6,3112,76.2,94,15.7,4895,15.8
"01029","5","54","74","0","2021","A","N",8,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","54","74","0","2021","A","N",84,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,"N",15,21.7,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","54","74","0","2021","A","",80,291,12178048,2808128,44802,805,41873,"",0.43,0.18,0.09,0.16,0.13,0.48,0.48,"",4,5.3,18,6.6,148094,1.2,123438,4.6,12509,38.7,-43,-5.1,-2247,-5.1
"01035","5","54","74","0","2021","A","",13,19,1064445,158565,3149,1054,54821,"",0.37,0.09,0.07,0.07,0.07,0.77,0.77,"",-2,-13.3,-3,-13.6,-152820,-12.6,-50371,-24.1,-902,-22.3,-10,-0.9,-509,-0.9
"01037","5","54","74","0","2021","A","",9,39,2163816,367469,5748,1065,55364,"",0.47,0.43,0.33,0.41,0.35,0.77,0.77,"",0,0.0,4,11.4,208996,10.7,-121324,-24.8,1725,42.9,-17,-1.6,-890,-1.6
"01039","5","54","74","0","2021","A","N",66,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,"N",3,4.8,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","54","74","0","2021","A","",15,39,1379455,368802,10626,685,35599,"",0.40,0.17,0.09,0.15,0.18,0.51,0.51,"N",2,15.4,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","54","74","0","2021","A","",129,557,28784374,5346923,87481,994,51708,"",0.50,0.28,0.19,0.24,0.24,0.68,0.68,"",6,4.9,37,7.1,2627977,10.0,301724,6.0,27170,45.0,27,2.8,1415,2.8
"01045","1","54","74","0","2021","A","",4,26,1672603,0,0,1261,65592,"",35.71,3.18,2.50,0.00,0.00,0.80,0.80,"",0,0.0,2,8.3,140817,9.2,0,0.0,0,0.0,46,3.8,2426,3.8
"01045","5","54","74","0","2021","A","",89,497,32870617,4547801,80880,1272,66127,"",0.73,0.42,0.28,0.43,0.48,0.67,0.67,"",-3,-3.3,-134,-21.2,-3906459,-10.6,-770202,-14.5,25330,45.6,151,13.5,7859,13.5
"01047","1","54","74","0","2021","A","",1,16,1919787,0,0,2272,118141,"",9.54,3.01,5.99,0.00,0.00,1.96,1.96,"",0,0.0,1,6.7,265149,16.0,0,0.0,0,0.0,90,4.1,4680,4.1
"01047","5","54","74","0","2021","A","",57,161,5828107,1330474,25493,696,36199,"",0.50,0.21,0.10,0.17,0.15,0.50,0.50,"",2,3.6,-40,-19.9,-1379817,-19.1,-486626,-26.8,4598,22.0,7,1.0,368,1.0
"01049","5","54","74","0","2021","A","",83,356,16515636,3325037,50458,892,46403,"",0.49,0.23,0.15,0.19,0.18,0.63,0.63,"",7,9.2,4,1.1,-793991,-4.6,-14763,-0.4,16698,49.5,-53,-5.6,-2737,-5.6
"01051","5","54","74","0","2021","A","",131,581,31574090,5505143,89217,1044,54305,"",0.66,0.43,0.35,0.40,0.40,0.81,0.81,"",16,13.9,91,18.6,6916441,28.0,1155245,26.6,48571,119.5,76,7.9,3992,7.9
"01053","5","54","74","0","2021","A","N",54,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,"N",3,5.9,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","54","74","0","2021","A","",162,633,30315073,6200133,110771,921,47879,"",0.56,0.29,0.20,0.25,0.26,0.68,0.68,"",16,11.0,25,4.1,2214094,7.9,-29408,-0.5,31935,40.5,32,3.6,1629,3.5
"01057","5","54","74","0","2021","A","",17,43,1618658,322287,5418,721,37498,"",0.37,0.16,0.09,0.12,0.11,0.59,0.59,"",3,21.4,16,59.3,509135,45.9,134969,72.1,3236,148.3,-60,-7.7,-3094,-7.6
"01059","5","54","74","0","2021","A","N",35,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","54","74","0","2021","A","N",27,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,"N",2,8.0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","54","74","0","2021","A","N",3,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","1","54","74","0","2021","A","",1,5,416763,0,0,1687,87740,"",27.98,4.19,5.78,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,-1430,-0.3,0,0.0,0,0.0,-36,-2.1,-1873,-2.1
"01065","5","54","74","0","2021","A","",10,30,1153008,391468,7379,729,37907,"",0.26,0.17,0.09,0.25,0.30,0.52,0.52,"",1,11.1,11,57.9,566873,96.7,193774,98.0,4638,169.2,143,24.4,7458,24.5
"01067","5","54","74","0","2021","A","",29,216,11129034,2731861,32654,990,51464,"",0.61,0.87,0.54,1.04,0.86,0.62,0.62,"",-1,-3.3,13,6.4,-1048206,-8.6,742095,37.3,9747,42.6,-162,-14.1,-8424,-14.1
"01069","5","54","74","0","2021","A","",275,1254,82241433,12310825,193053,1261,65570,"",0.66,0.38,0.30,0.34,0.33,0.80,0.80,"",23,9.1,77,6.5,6049318,7.9,897499,7.9,72467,60.1,16,1.3,840,1.3
"01071","5","54","74","0","2021","A","",64,181,8389178,1771923,42568,892,46392,"",0.46,0.17,0.11,0.15,0.17,0.64,0.64,"",1,1.6,-3,-1.6,63267,0.8,-121325,-6.4,-766,-1.8,24,2.8,1245,2.8
"01073","1","54","74","0","2021","A","",1,17,1287088,0,0,1478,76841,"",0.41,0.10,0.09,0.00,0.00,0.86,0.86,"",0,0.0,0,0.0,112852,9.6,0,0.0,0,0.0,123,9.1,6387,9.1
